,datetime,YALE_RESERVOIR_NEAR_YALE__WA.tsv
626,2014-09-19,373086.85
627,2014-09-20,373087.1
628,2014-09-21,373087.01
629,2014-09-22,373086.72
630,2014-09-23,373086.5
631,2014-09-24,373086.31
632,2014-09-25,373086.1
633,2014-09-26,373085.91
634,2014-09-27,373086.23
635,2014-09-28,373086.83
636,2014-09-29,373086.89
637,2014-09-30,373086.75
638,2014-10-01,373086.52
639,2014-10-02,372086.25
640,2014-10-03,371786.16
641,2014-10-04,371286.04
642,2014-10-05,371286.02
643,2014-10-06,371786.16
644,2014-10-07,371686.13
645,2014-10-08,370985.96
646,2014-10-09,371286.04
647,2014-10-10,371286.02
648,2014-10-11,369985.69
649,2014-10-12,369185.47
650,2014-10-13,370885.93
651,2014-10-14,371586.12
652,2014-10-15,374886.99
653,2014-10-16,376187.34
654,2014-10-17,377487.68
655,2014-10-18,380288.45
656,2014-10-19,380488.5
657,2014-10-20,380088.39
658,2014-10-21,382088.92
659,2014-10-22,378287.91
660,2014-10-23,370585.83
661,2014-10-24,365384.44
662,2014-10-25,359182.74
663,2014-10-26,368585.3
664,2014-10-27,372086.25
665,2014-10-28,372586.37
666,2014-10-29,373986.76
667,2014-10-30,376687.47
668,2014-10-31,378187.87
669,2014-11-01,374586.92
670,2014-11-02,372386.33
671,2014-11-03,372986.48
672,2014-11-04,384789.62
673,2014-11-05,374786.96
674,2014-11-06,363784.0
675,2014-11-07,360683.14
676,2014-11-08,357082.17
677,2014-11-09,353681.23
678,2014-11-10,350780.41
679,2014-11-11,354881.54
680,2014-11-12,353981.29
681,2014-11-13,354081.34
682,2014-11-14,353881.28
683,2014-11-15,354581.48
684,2014-11-16,352180.81
685,2014-11-17,349480.04
686,2014-11-18,350380.3
687,2014-11-19,350280.28
688,2014-11-20,349680.1
689,2014-11-21,349780.12
690,2014-11-22,351080.49
691,2014-11-23,353281.1
692,2014-11-24,355981.85
693,2014-11-25,363283.86
694,2014-11-26,360683.16
695,2014-11-27,353881.26
696,2014-11-28,354081.34
697,2014-11-29,353081.05
698,2014-11-30,351380.58
699,2014-12-01,350780.42
700,2014-12-02,351780.69
701,2014-12-03,349880.16
702,2014-12-04,348779.86
703,2014-12-05,346779.27
704,2014-12-06,344878.74
705,2014-12-07,341977.93
706,2014-12-08,340577.52
707,2014-12-09,340577.51
708,2014-12-10,339877.32
709,2014-12-11,338676.96
710,2014-12-12,339877.31
711,2014-12-13,340377.47
712,2014-12-14,340077.38
713,2014-12-15,339577.24
714,2014-12-16,338676.97
715,2014-12-17,339677.25
716,2014-12-18,340177.4
717,2014-12-19,340677.56
718,2014-12-20,347279.42
719,2014-12-21,358982.69
720,2014-12-22,364984.32
721,2014-12-23,369085.45
722,2014-12-24,365084.35
723,2014-12-25,359882.94
724,2014-12-26,353581.2
725,2014-12-27,352080.77
726,2014-12-28,353181.08
727,2014-12-29,353981.29
728,2014-12-30,356381.97
729,2014-12-31,356882.1
730,2015-01-01,359782.91
731,2015-01-02,360783.18
732,2015-01-03,360883.21
733,2015-01-04,359882.94
734,2015-01-05,364584.23
735,2015-01-06,363683.98
736,2015-01-07,362083.53
737,2015-01-08,359682.88
738,2015-01-09,356982.14
739,2015-01-10,351780.69
740,2015-01-11,352080.78
741,2015-01-12,351380.57
742,2015-01-13,351680.65
743,2015-01-14,351780.68
744,2015-01-15,347479.48
745,2015-01-16,343278.28
746,2015-01-17,340477.49
747,2015-01-18,340577.51
748,2015-01-19,339477.2
749,2015-01-20,338076.81
750,2015-01-21,340377.45
751,2015-01-22,342278.02
752,2015-01-23,343578.38
753,2015-01-24,344478.62
754,2015-01-25,344978.76
755,2015-01-26,343978.49
756,2015-01-27,343578.39
757,2015-01-28,342878.17
758,2015-01-29,342177.98
759,2015-01-30,340977.62
760,2015-01-31,339477.21
761,2015-02-01,338176.82
762,2015-02-02,337376.61
763,2015-02-03,342978.21
764,2015-02-04,345278.86
765,2015-02-05,340977.63
766,2015-02-06,339677.25
767,2015-02-07,338376.89
768,2015-02-08,339077.1
769,2015-02-09,341477.77
770,2015-02-10,345779.0
771,2015-02-11,347179.39
772,2015-02-12,347179.41
773,2015-02-13,346979.34
774,2015-02-14,348279.7
775,2015-02-15,346679.26
776,2015-02-16,346679.25
777,2015-02-17,347179.41
778,2015-02-18,345779.01
779,2015-02-19,345278.85
780,2015-02-20,344778.73
781,2015-02-21,343478.36
782,2015-02-22,341777.86
783,2015-02-23,337976.77
784,2015-02-24,334275.71
785,2015-02-25,331274.81
786,2015-02-26,329774.36
787,2015-02-27,328574.01
788,2015-02-28,327673.75
789,2015-03-01,327073.57
790,2015-03-02,327673.75
791,2015-03-03,325473.08
792,2015-03-04,322872.31
793,2015-03-05,320271.51
794,2015-03-06,319971.44
795,2015-03-07,318971.11
796,2015-03-08,318370.93
797,2015-03-09,318070.85
798,2015-03-10,318270.92
799,2015-03-11,316170.27
800,2015-03-12,316870.47
801,2015-03-13,317070.54
802,2015-03-14,318971.12
803,2015-03-15,324272.74
804,2015-03-16,325273.03
805,2015-03-17,328073.88
806,2015-03-18,330574.62
807,2015-03-19,331174.77
808,2015-03-20,331875.0
809,2015-03-21,331574.9
810,2015-03-22,329474.29
811,2015-03-23,328173.91
812,2015-03-24,330274.51
813,2015-03-25,332175.08
814,2015-03-26,333975.61
815,2015-03-27,335275.99
816,2015-03-28,337276.56
817,2015-03-29,340677.55
818,2015-03-30,343778.43
819,2015-03-31,345178.82
820,2015-04-01,344978.78
821,2015-04-02,346579.22
822,2015-04-03,345578.95
823,2015-04-04,345078.81
824,2015-04-05,342678.11
825,2015-04-06,342177.98
826,2015-04-07,340977.64
827,2015-04-08,342678.13
828,2015-04-09,344178.56
829,2015-04-10,346479.21
830,2015-04-11,347379.44
831,2015-04-12,346979.34
832,2015-04-13,346779.27
833,2015-04-14,347779.57
834,2015-04-15,353081.06
835,2015-04-16,355181.63
836,2015-04-17,355481.73
837,2015-04-18,356682.04
838,2015-04-19,357382.24
839,2015-04-20,357082.16
840,2015-04-21,356782.08
841,2015-04-22,355781.79
842,2015-04-23,353981.31
843,2015-04-24,354181.37
844,2015-04-25,354981.57
845,2015-04-26,355981.86
846,2015-04-27,354281.38
847,2015-04-28,353281.1
848,2015-04-29,353681.22
849,2015-04-30,354381.42
850,2015-05-01,355181.63
851,2015-05-02,355981.85
852,2015-05-03,355681.78
853,2015-05-04,354581.48
854,2015-05-05,355781.81
855,2015-05-06,356281.95
856,2015-05-07,356682.04
857,2015-05-08,355581.76
858,2015-05-09,353581.2
859,2015-05-10,351480.6
860,2015-05-11,351080.5
861,2015-05-12,349880.15
862,2015-05-13,350280.27
863,2015-05-14,349980.2
864,2015-05-15,348079.64
865,2015-05-16,348579.79
866,2015-05-17,347579.51
867,2015-05-18,349179.97
868,2015-05-19,350180.25
869,2015-05-20,348779.85
870,2015-05-21,347979.62
871,2015-05-22,346879.32
872,2015-05-23,346179.1
873,2015-05-24,345478.92
874,2015-05-25,344878.75
875,2015-05-26,348979.92
876,2015-05-27,349179.96
877,2015-05-28,348179.69
878,2015-05-29,348479.77
879,2015-05-30,347979.61
880,2015-05-31,347379.46
881,2015-06-01,347879.6
882,2015-06-02,347079.38
883,2015-06-03,349380.03
884,2015-06-04,349480.06
885,2015-06-05,350880.45
886,2015-06-06,352680.95
887,2015-06-07,352480.89
888,2015-06-08,358182.46
889,2015-06-09,356682.05
890,2015-06-10,357082.17
891,2015-06-11,356081.89
892,2015-06-12,354581.46
893,2015-06-13,353881.28
894,2015-06-14,347379.46
895,2015-06-15,345378.89
896,2015-06-16,343778.44
897,2015-06-17,343278.3
898,2015-06-18,344678.7
899,2015-06-19,345979.06
900,2015-06-20,346079.08
901,2015-06-21,346179.11
902,2015-06-22,345178.84
903,2015-06-23,345879.03
904,2015-06-24,345578.95
905,2015-06-25,345278.87
906,2015-06-26,344578.65
907,2015-06-27,343278.3
908,2015-06-28,341877.9
909,2015-06-29,346279.15
910,2015-06-30,348479.76
911,2015-07-01,349580.07
912,2015-07-02,351380.58
913,2015-07-03,351480.6
914,2015-07-04,351580.64
915,2015-07-05,351680.65
916,2015-07-06,351880.71
917,2015-07-07,353481.15
918,2015-07-08,354081.33
919,2015-07-09,354581.46
920,2015-07-10,353781.25
921,2015-07-11,353981.29
922,2015-07-12,353381.14
923,2015-07-13,352780.96
924,2015-07-14,351380.57
925,2015-07-15,350180.24
926,2015-07-16,350280.28
927,2015-07-17,350180.25
928,2015-07-18,348279.7
929,2015-07-19,347979.61
930,2015-07-20,345879.04
931,2015-07-21,346179.12
932,2015-07-22,346179.12
933,2015-07-23,346679.25
934,2015-07-24,346779.29
935,2015-07-25,346479.21
936,2015-07-26,346379.17
937,2015-07-27,347979.63
938,2015-07-28,349380.02
939,2015-07-29,350880.44
940,2015-07-30,352680.93
941,2015-07-31,353281.1
942,2015-08-01,352380.86
943,2015-08-02,352480.87
944,2015-08-03,352680.93
945,2015-08-04,352680.93
946,2015-08-05,352981.02
947,2015-08-06,352280.83
948,2015-08-07,350880.44
949,2015-08-08,351080.49
950,2015-08-09,351280.55
951,2015-08-10,351380.57
952,2015-08-11,350580.34
953,2015-08-12,350180.25
954,2015-08-13,353581.18
955,2015-08-14,353881.26
956,2015-08-15,353981.31
957,2015-08-16,354181.35
958,2015-08-17,354081.32
959,2015-08-18,354181.35
960,2015-08-19,352780.98
961,2015-08-20,352981.02
962,2015-08-21,353081.06
963,2015-08-22,353381.14
964,2015-08-23,353481.16
965,2015-08-24,353581.2
966,2015-08-25,353281.11
967,2015-08-26,351180.52
968,2015-08-27,351180.53
969,2015-08-28,350580.36
970,2015-08-29,350980.46
971,2015-08-30,349880.17
972,2015-08-31,350180.25
973,2015-09-01,350180.23
974,2015-09-02,350580.36
975,2015-09-03,350680.37
976,2015-09-04,349380.01
977,2015-09-05,348979.92
978,2015-09-06,349380.01
979,2015-09-07,348579.78
980,2015-09-08,348479.77
981,2015-09-09,348179.69
982,2015-09-10,347079.38
983,2015-09-11,346079.08
984,2015-09-12,345278.87
985,2015-09-13,342177.99
