,datetime,LAKE_SACAJAWEA_FOREBAY_AT_ICE_HARBOR_DAM__WA.
575,2012-10-05,348.72823529411767
576,2012-10-06,348.59235294117644
577,2012-10-07,348.45647058823533
578,2012-10-08,348.3205882352941
579,2012-10-09,348.18470588235294
580,2012-10-10,348.0488235294118
581,2012-10-11,347.91294117647055
582,2012-10-12,347.7770588235294
583,2012-10-13,347.6411764705883
584,2012-10-14,347.50529411764705
585,2012-10-15,347.36941176470594
586,2012-10-16,347.2335294117647
587,2012-10-17,347.09764705882355
588,2012-10-18,346.96176470588233
589,2012-10-19,346.82588235294116
590,2012-10-20,346.69
591,2012-10-21,346.55411764705883
592,2012-10-22,346.41823529411766
593,2012-10-23,346.28235294117644
594,2012-10-24,346.1464705882353
595,2012-10-25,346.01058823529405
596,2012-10-26,345.87470588235294
597,2012-10-27,345.7388235294118
598,2012-10-28,345.6029411764706
599,2012-10-29,345.46705882352944
600,2012-10-30,345.3311764705883
601,2012-10-31,345.19529411764705
602,2012-11-01,345.05941176470594
603,2012-11-02,344.9235294117647
604,2012-11-03,344.78764705882355
605,2012-11-04,344.65176470588233
606,2012-11-05,344.51588235294116
607,2012-11-06,344.38
608,2012-11-07,344.24411764705883
609,2012-11-08,344.10823529411766
610,2012-11-09,343.9723529411765
611,2012-11-10,343.8364705882353
612,2012-11-11,343.70058823529405
613,2012-11-12,343.56470588235294
614,2012-11-13,343.4288235294118
615,2012-11-14,343.2929411764706
616,2012-11-15,343.15705882352944
617,2012-11-16,343.0211764705882
618,2012-11-17,342.88529411764705
619,2012-11-18,342.7494117647059
620,2012-11-19,342.6135294117647
621,2012-11-20,342.4776470588235
622,2012-11-21,342.3417647058824
623,2012-11-22,342.20588235294116
624,2012-11-23,342.07
625,2012-11-24,341.9341176470588
626,2012-11-25,341.79823529411766
627,2012-11-26,341.6623529411765
628,2012-11-27,341.5264705882353
629,2012-11-28,341.39058823529405
630,2012-11-29,341.25470588235294
631,2012-11-30,341.1188235294117
632,2012-12-01,340.9829411764706
633,2012-12-02,340.8470588235294
634,2012-12-03,340.71117647058827
635,2012-12-04,340.575294117647
636,2012-12-05,340.4394117647059
637,2012-12-06,340.30352941176466
638,2012-12-07,340.16764705882355
639,2012-12-08,340.0317647058823
640,2012-12-09,339.8958823529412
641,2012-12-10,339.75999999999993
642,2012-12-11,339.6241176470588
643,2012-12-12,339.48823529411766
644,2012-12-13,339.3523529411765
645,2012-12-14,339.2164705882353
646,2012-12-15,339.0805882352941
647,2012-12-16,338.94470588235293
648,2012-12-17,338.8088235294117
649,2012-12-18,338.6729411764706
650,2012-12-19,338.53705882352943
651,2012-12-20,338.40117647058827
652,2012-12-21,338.2652941176471
653,2012-12-22,338.1294117647059
654,2012-12-23,337.9935294117647
655,2012-12-24,337.8576470588235
656,2012-12-25,337.7217647058824
657,2012-12-26,337.58588235294116
658,2012-12-27,337.45000000000005
659,2012-12-28,337.31411764705877
660,2012-12-29,337.17823529411766
661,2012-12-30,337.04235294117643
662,2012-12-31,336.9064705882353
663,2013-01-01,336.7705882352941
664,2013-01-02,336.634705882353
665,2013-01-03,336.4988235294117
666,2013-01-04,336.3629411764706
