,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.tsv
731,2015-01-02,3446.55
732,2015-01-03,3446.49
733,2015-01-04,3446.56
734,2015-01-05,3446.92
735,2015-01-06,3446.95
736,2015-01-07,3446.93
737,2015-01-08,3446.91
738,2015-01-09,3446.87
739,2015-01-10,3446.83
740,2015-01-11,3446.79
741,2015-01-12,3446.75
742,2015-01-13,3446.71
743,2015-01-14,3446.67
744,2015-01-15,3446.66
745,2015-01-16,3446.62
746,2015-01-17,3446.9
747,2015-01-18,3447.09
748,2015-01-19,3447.14
749,2015-01-20,3447.14
750,2015-01-21,3447.11
751,2015-01-22,3447.06
752,2015-01-23,3447.09
753,2015-01-24,3447.12
754,2015-01-25,3447.12
755,2015-01-26,3447.1
756,2015-01-27,3447.08
757,2015-01-28,3447.03
758,2015-01-29,3446.98
759,2015-01-30,3446.92
760,2015-01-31,3446.86
761,2015-02-01,3446.85
762,2015-02-02,3446.83
763,2015-02-03,3446.79
764,2015-02-04,3446.74
765,2015-02-05,3446.88
766,2015-02-06,3447.17
767,2015-02-07,3447.41
768,2015-02-08,3447.53
769,2015-02-09,3447.72
770,2015-02-10,3447.81
771,2015-02-11,3447.85
772,2015-02-12,3447.83
773,2015-02-13,3447.8
774,2015-02-14,3447.76
775,2015-02-15,3447.7
776,2015-02-16,3447.63
777,2015-02-17,3447.56
778,2015-02-18,3447.49
779,2015-02-19,3447.44
780,2015-02-20,3447.37
781,2015-02-21,3447.29
782,2015-02-22,3447.2
783,2015-02-23,3447.11
784,2015-02-24,3447.03
785,2015-02-25,3446.98
786,2015-02-26,3446.94
787,2015-02-27,3446.9
788,2015-02-28,3446.81
789,2015-03-01,3446.73
790,2015-03-02,3446.64
791,2015-03-03,3446.55
792,2015-03-04,3446.45
793,2015-03-05,3446.36
794,2015-03-06,3446.28
795,2015-03-07,3446.19
796,2015-03-08,3446.12
797,2015-03-09,3446.03
798,2015-03-10,3445.93
799,2015-03-11,3445.9
800,2015-03-12,3445.8
801,2015-03-13,3445.72
802,2015-03-14,3445.83
803,2015-03-15,3446.09
804,2015-03-16,3446.07
805,2015-03-17,3446.03
806,2015-03-18,3445.99
807,2015-03-19,3445.93
808,2015-03-20,3445.92
809,2015-03-21,3445.93
810,2015-03-22,3445.93
811,2015-03-23,3445.93
812,2015-03-24,3445.97
813,2015-03-25,3445.98
814,2015-03-26,3445.96
815,2015-03-27,3445.99
816,2015-03-28,3446.06
817,2015-03-29,3446.03
818,2015-03-30,3446.0
819,2015-03-31,3446.04
820,2015-04-01,3446.04
821,2015-04-02,3446.01
822,2015-04-03,3445.98
823,2015-04-04,3445.94
824,2015-04-05,3445.92
825,2015-04-06,3445.84
826,2015-04-07,3445.81
827,2015-04-08,3445.81
828,2015-04-09,3445.74
829,2015-04-10,3445.7
830,2015-04-11,3445.73
831,2015-04-12,3445.69
832,2015-04-13,3445.68
