,datetime,BIG_CLIFF_LAKE_NEAR_NIAGARA__OR.
1035,2016-06-01,1201.41
1036,2016-06-02,1201.08
1037,2016-06-03,1200.45
1038,2016-06-04,1200.28
1039,2016-06-05,1200.21
1040,2016-06-06,1200.93
1041,2016-06-07,1201.63
1042,2016-06-08,1200.75
1043,2016-06-09,1201.16
1044,2016-06-10,1201.6
1045,2016-06-11,1202.14
1046,2016-06-12,1201.46
1047,2016-06-13,1200.63
1048,2016-06-14,1200.47
1049,2016-06-15,1201.51
1050,2016-06-16,1199.5
1051,2016-06-17,1198.76
1052,2016-06-18,1196.33
1053,2016-06-19,1198.9
1054,2016-06-20,1199.95
1055,2016-06-21,1200.38
1056,2016-06-22,1201.32
1057,2016-06-23,1201.18
1058,2016-06-24,1201.61
1059,2016-06-25,1201.36
1060,2016-06-26,1200.39
1061,2016-06-27,1199.7
1062,2016-06-28,1199.21
1063,2016-06-29,1201.1
1064,2016-06-30,1200.6
1065,2016-07-01,1202.12
1066,2016-07-02,1201.61
1067,2016-07-03,1200.84
1068,2016-07-04,1201.03
1069,2016-07-05,1200.64
1070,2016-07-06,1199.17
1071,2016-07-07,1198.73
1072,2016-07-08,1199.63
1073,2016-07-09,1199.43
1074,2016-07-10,1199.88
1075,2016-07-11,1200.2
1076,2016-07-12,1199.43
1077,2016-07-13,1199.97
1078,2016-07-14,1200.85
1079,2016-07-15,1201.63
1080,2016-07-16,1201.52
1081,2016-07-17,1201.45
1082,2016-07-18,1201.22
1083,2016-07-19,1201.42
1084,2016-07-20,1202.32
1085,2016-07-21,1202.1
1086,2016-07-22,1201.84
1087,2016-07-23,1201.11
1088,2016-07-24,1200.37
1089,2016-07-25,1200.48
1090,2016-07-26,1202.15
1091,2016-07-27,1201.36
1092,2016-07-28,1200.53
1093,2016-07-29,1203.16
1094,2016-07-30,1200.54
1095,2016-07-31,1201.93
1096,2016-08-01,1201.61
1097,2016-08-02,1202.71
1098,2016-08-03,1202.74
1099,2016-08-04,1202.22
1100,2016-08-05,1202.45
