,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.tsv
745,2015-01-16,54646.18
746,2015-01-17,54726.24
747,2015-01-18,54796.29
748,2015-01-19,54846.32
749,2015-01-20,54896.36
750,2015-01-21,54956.4
751,2015-01-22,54996.43
752,2015-01-23,55026.45
753,2015-01-24,55106.51
754,2015-01-25,55106.51
755,2015-01-26,55166.55
756,2015-01-27,55216.59
757,2015-01-28,55246.61
758,2015-01-29,55286.64
759,2015-01-30,55306.65
760,2015-01-31,55346.68
761,2015-02-01,55386.71
762,2015-02-02,55406.72
763,2015-02-03,55456.76
764,2015-02-04,55486.78
765,2015-02-05,55496.79
766,2015-02-06,57027.82
767,2015-02-07,59919.69
768,2015-02-08,61470.69
769,2015-02-09,63051.71
770,2015-02-10,64152.405
771,2015-02-11,65263.1
772,2015-02-12,65793.43
773,2015-02-13,66193.68
774,2015-02-14,66513.88
775,2015-02-15,66774.04
776,2015-02-16,67004.17
777,2015-02-17,67174.27
778,2015-02-18,67294.34
779,2015-02-19,67544.48
780,2015-02-20,67834.65
781,2015-02-21,68174.84
782,2015-02-22,68304.90666666666
783,2015-02-23,68404.97333333333
784,2015-02-24,68525.04
785,2015-02-25,68525.04
786,2015-02-26,68615.09
787,2015-02-27,68665.12
788,2015-02-28,68885.25
789,2015-03-01,69155.4
790,2015-03-02,69485.59
791,2015-03-03,69655.675
792,2015-03-04,69785.76
793,2015-03-05,69835.79
794,2015-03-06,69975.87
795,2015-03-07,70045.91
796,2015-03-08,70095.94
797,2015-03-09,70155.97
798,2015-03-10,70276.04
799,2015-03-11,70356.09
800,2015-03-12,70426.13
801,2015-03-13,70476.16
802,2015-03-14,70526.19
803,2015-03-15,70556.21
804,2015-03-16,70596.23
805,2015-03-17,70626.25
806,2015-03-18,70646.26
807,2015-03-19,70666.27
808,2015-03-20,70716.3
809,2015-03-21,70766.33
810,2015-03-22,70816.36
811,2015-03-23,70816.36
812,2015-03-24,70846.38
813,2015-03-25,70946.44
814,2015-03-26,70936.43
815,2015-03-27,70936.43
816,2015-03-28,70986.46
817,2015-03-29,71006.47
818,2015-03-30,70986.46
819,2015-03-31,70986.46
820,2015-04-01,71016.48
821,2015-04-02,70986.46
822,2015-04-03,71016.48
823,2015-04-04,71016.48
824,2015-04-05,71066.51
825,2015-04-06,71066.51
826,2015-04-07,71136.55
827,2015-04-08,71136.55
828,2015-04-09,71136.55
829,2015-04-10,71136.55
830,2015-04-11,71136.55
831,2015-04-12,71136.55
832,2015-04-13,71136.55
833,2015-04-14,71136.55
834,2015-04-15,71136.55
835,2015-04-16,71136.55
836,2015-04-17,71136.55
837,2015-04-18,71136.55
838,2015-04-19,71136.55
839,2015-04-20,71116.54
840,2015-04-21,71136.55
841,2015-04-22,71116.54
842,2015-04-23,71136.55
843,2015-04-24,71116.54
844,2015-04-25,71116.54
845,2015-04-26,71136.55
846,2015-04-27,71106.53
847,2015-04-28,71116.54
848,2015-04-29,71086.52
849,2015-04-30,71066.51
850,2015-05-01,70946.44
851,2015-05-02,70646.26
852,2015-05-03,70206.0
853,2015-05-04,69575.64
854,2015-05-05,68925.27
855,2015-05-06,68294.91
856,2015-05-07,67614.52
857,2015-05-08,66944.14
858,2015-05-09,66353.78
859,2015-05-10,65743.4
860,2015-05-11,65163.04
861,2015-05-12,64702.75
862,2015-05-13,64102.38
863,2015-05-14,63552.03
864,2015-05-15,62951.65
865,2015-05-16,62471.34
866,2015-05-17,62041.06
867,2015-05-18,61590.77
868,2015-05-19,61020.4
869,2015-05-20,60309.94
870,2015-05-21,59499.42
871,2015-05-22,58728.92
872,2015-05-23,58028.47
873,2015-05-24,57348.03
874,2015-05-25,56727.62
875,2015-05-26,55977.12
876,2015-05-27,55166.55
877,2015-05-28,54315.94
878,2015-05-29,53495.36
879,2015-05-30,52754.83
880,2015-05-31,52014.3
881,2015-06-01,51263.75
882,2015-06-02,50603.24
883,2015-06-03,49922.72
884,2015-06-04,49242.19
885,2015-06-05,48591.67
886,2015-06-06,47891.08
887,2015-06-07,47140.46
888,2015-06-08,46339.78
889,2015-06-09,45569.11
890,2015-06-10,44828.47
891,2015-06-11,44187.91
892,2015-06-12,43587.39
893,2015-06-13,42946.84
894,2015-06-14,42326.3
895,2015-06-15,41715.73
896,2015-06-16,41105.12
897,2015-06-17,40514.53
898,2015-06-18,39973.99
899,2015-06-19,39383.4
900,2015-06-20,38732.74
901,2015-06-21,38142.12
902,2015-06-22,37611.56
903,2015-06-23,37091.01
904,2015-06-24,36610.53
905,2015-06-25,36190.11
906,2015-06-26,35679.6
907,2015-06-27,35068.99
908,2015-06-28,34558.48
909,2015-06-29,34067.99
910,2015-06-30,33537.43
911,2015-07-01,32946.81
912,2015-07-02,32416.25
913,2015-07-03,31845.63
914,2015-07-04,31244.97
915,2015-07-05,30634.33
916,2015-07-06,30143.81
917,2015-07-07,29713.36
918,2015-07-08,29352.98
919,2015-07-09,28892.5
920,2015-07-10,28381.96
921,2015-07-11,27771.32
922,2015-07-12,27270.78
923,2015-07-13,26850.31
924,2015-07-14,26479.87
925,2015-07-15,26189.46
926,2015-07-16,25909.06
927,2015-07-17,25608.59
928,2015-07-18,25268.03
929,2015-07-19,24947.52
930,2015-07-20,24697.13
931,2015-07-21,24396.67
932,2015-07-22,24016.11
933,2015-07-23,23605.51
934,2015-07-24,23154.86
935,2015-07-25,22674.16
936,2015-07-26,22223.53
937,2015-07-27,21863.03
938,2015-07-28,21522.56
939,2015-07-29,21172.08
940,2015-07-30,20631.35
941,2015-07-31,20030.53
942,2015-08-01,19710.1
943,2015-08-02,19549.84
944,2015-08-03,19439.63
945,2015-08-04,19339.43
946,2015-08-05,19239.25
947,2015-08-06,19189.15
948,2015-08-07,19159.1
949,2015-08-08,19139.06
950,2015-08-09,19119.01
951,2015-08-10,19078.97
952,2015-08-11,19048.94
953,2015-08-12,19018.91
954,2015-08-13,18988.88
955,2015-08-14,18968.85
956,2015-08-15,18938.82
957,2015-08-16,18878.76
958,2015-08-17,18828.71
959,2015-08-18,18788.67
960,2015-08-19,18748.63
961,2015-08-20,18718.59
962,2015-08-21,18698.57
963,2015-08-22,18648.52
964,2015-08-23,18628.5
965,2015-08-24,18568.44
966,2015-08-25,18518.38
967,2015-08-26,18488.35
968,2015-08-27,18448.31
969,2015-08-28,18428.29
970,2015-08-29,18348.2
971,2015-08-30,18308.16
972,2015-08-31,18278.13
973,2015-09-01,18228.08
974,2015-09-02,18198.04
975,2015-09-03,18188.03
976,2015-09-04,18147.99
977,2015-09-05,18097.92
978,2015-09-06,18067.88
979,2015-09-07,18037.85
980,2015-09-08,17997.79
981,2015-09-09,17987.78
