,datetime,UPPER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
536,2014-06-22,9411.901724137932
537,2014-06-23,9403.599310344827
538,2014-06-24,9395.296896551725
539,2014-06-25,9386.99448275862
540,2014-06-26,9378.692068965518
541,2014-06-27,9370.389655172414
542,2014-06-28,9362.087241379311
543,2014-06-29,9353.784827586207
544,2014-06-30,9345.482413793103
545,2014-07-01,9337.18
546,2014-07-02,9320.127
547,2014-07-03,9303.074
548,2014-07-04,9286.021
549,2014-07-05,9268.968
550,2014-07-06,9251.915
551,2014-07-07,9234.862000000001
552,2014-07-08,9217.809000000001
553,2014-07-09,9200.756000000001
554,2014-07-10,9183.703000000001
555,2014-07-11,9166.650000000001
556,2014-07-12,9149.597000000002
557,2014-07-13,9132.544
558,2014-07-14,9115.491
559,2014-07-15,9098.438
560,2014-07-16,9081.385
561,2014-07-17,9064.332
562,2014-07-18,9047.279
563,2014-07-19,9030.226
564,2014-07-20,9013.172999999999
565,2014-07-21,8996.119999999999
566,2014-07-22,8979.067
567,2014-07-23,8962.014
568,2014-07-24,8944.961
569,2014-07-25,8927.908
570,2014-07-26,8910.855
571,2014-07-27,8893.802
572,2014-07-28,8876.749
573,2014-07-29,8859.696
574,2014-07-30,8842.643
575,2014-07-31,8825.59
576,2014-08-01,8816.469090909091
577,2014-08-02,8807.34818181818
578,2014-08-03,8798.227272727272
579,2014-08-04,8789.106363636363
580,2014-08-05,8779.985454545455
581,2014-08-06,8770.864545454546
582,2014-08-07,8761.743636363637
583,2014-08-08,8752.622727272728
584,2014-08-09,8743.50181818182
585,2014-08-10,8734.380909090909
586,2014-08-11,8725.26
587,2014-08-12,8716.139090909091
588,2014-08-13,8707.01818181818
589,2014-08-14,8697.897272727272
590,2014-08-15,8688.776363636363
591,2014-08-16,8679.655454545455
592,2014-08-17,8670.534545454546
593,2014-08-18,8661.413636363637
594,2014-08-19,8652.292727272728
595,2014-08-20,8643.17181818182
596,2014-08-21,8634.050909090909
597,2014-08-22,8624.93
598,2014-08-23,8615.809090909092
599,2014-08-24,8606.688181818181
600,2014-08-25,8597.567272727272
601,2014-08-26,8588.446363636363
602,2014-08-27,8579.325454545455
603,2014-08-28,8570.204545454546
604,2014-08-29,8561.083636363637
605,2014-08-30,8551.962727272728
606,2014-08-31,8542.84181818182
607,2014-09-01,8533.72090909091
608,2014-09-02,8524.6
609,2014-09-03,8518.719655172416
610,2014-09-04,8512.839310344829
611,2014-09-05,8506.958965517242
612,2014-09-06,8501.078620689656
613,2014-09-07,8495.198275862069
614,2014-09-08,8489.317931034482
615,2014-09-09,8483.437586206897
616,2014-09-10,8477.55724137931
617,2014-09-11,8471.676896551724
618,2014-09-12,8465.796551724137
619,2014-09-13,8459.916206896552
