,datetime,LAKE_BILLY_CHINOOK_NEAR_GRANDVIEW__OR.tsv
848,2015-04-29,1944.51
849,2015-04-30,1944.5
850,2015-05-01,1944.5
851,2015-05-02,1944.44
852,2015-05-03,1944.45
853,2015-05-04,1944.65
854,2015-05-05,1944.37
855,2015-05-06,1944.46
856,2015-05-07,1944.55
857,2015-05-08,1944.42
858,2015-05-09,1944.45
859,2015-05-10,1944.59
860,2015-05-11,1944.67
861,2015-05-12,1944.69
862,2015-05-13,1944.52
863,2015-05-14,1944.56
864,2015-05-15,1944.49
865,2015-05-16,1944.43
866,2015-05-17,1944.64
867,2015-05-18,1944.63
868,2015-05-19,1944.62
869,2015-05-20,1944.63
870,2015-05-21,1944.68
871,2015-05-22,1944.62
872,2015-05-23,1944.41
873,2015-05-24,1944.3
874,2015-05-25,1944.47
875,2015-05-26,1944.36
876,2015-05-27,1944.21
877,2015-05-28,1944.26
878,2015-05-29,1944.32
879,2015-05-30,1944.32
880,2015-05-31,1944.4
881,2015-06-01,1944.43
882,2015-06-02,1944.37
883,2015-06-03,1944.56
884,2015-06-04,1944.54
885,2015-06-05,1944.37
886,2015-06-06,1944.31
887,2015-06-07,1944.4
888,2015-06-08,1944.5
889,2015-06-09,1944.56
890,2015-06-10,1944.55
891,2015-06-11,1944.45
892,2015-06-12,1944.27
893,2015-06-13,1944.35
894,2015-06-14,1944.36
895,2015-06-15,1944.38
896,2015-06-16,1944.34
897,2015-06-17,1944.28
898,2015-06-18,1944.39
899,2015-06-19,1944.4
900,2015-06-20,1944.38
901,2015-06-21,1944.42
902,2015-06-22,1944.49
903,2015-06-23,1944.49
904,2015-06-24,1944.47
905,2015-06-25,1944.45
906,2015-06-26,1944.38
907,2015-06-27,1944.38
908,2015-06-28,1944.48
909,2015-06-29,1944.48
910,2015-06-30,1944.45
911,2015-07-01,1944.35
912,2015-07-02,1944.35
913,2015-07-03,1944.36
914,2015-07-04,1944.32
915,2015-07-05,1944.49
916,2015-07-06,1944.47
917,2015-07-07,1944.47
918,2015-07-08,1944.47
919,2015-07-09,1944.49
920,2015-07-10,1944.5
921,2015-07-11,1944.53
922,2015-07-12,1944.43
923,2015-07-13,1944.42
924,2015-07-14,1944.47
925,2015-07-15,1944.47
926,2015-07-16,1944.6
927,2015-07-17,1944.36
928,2015-07-18,1944.36
929,2015-07-19,1944.48
930,2015-07-20,1944.47
931,2015-07-21,1944.6
932,2015-07-22,1944.29
933,2015-07-23,1944.28
934,2015-07-24,1944.46
935,2015-07-25,1944.39
936,2015-07-26,1944.47
937,2015-07-27,1944.57
938,2015-07-28,1944.5
939,2015-07-29,1944.49
940,2015-07-30,1944.44
941,2015-07-31,1944.5
942,2015-08-01,1944.38
943,2015-08-02,1944.32
944,2015-08-03,1944.31
945,2015-08-04,1944.45
946,2015-08-05,1944.42
947,2015-08-06,1944.32
948,2015-08-07,1944.36
949,2015-08-08,1944.41
950,2015-08-09,1944.42
951,2015-08-10,1944.48
952,2015-08-11,1944.53
953,2015-08-12,1944.59
954,2015-08-13,1944.57
955,2015-08-14,1944.45
956,2015-08-15,1944.42
957,2015-08-16,1944.32
958,2015-08-17,1944.37
959,2015-08-18,1944.26
960,2015-08-19,1944.42
961,2015-08-20,1944.26
962,2015-08-21,1944.36
963,2015-08-22,1944.35
964,2015-08-23,1944.41
965,2015-08-24,1944.38
966,2015-08-25,1944.4
967,2015-08-26,1944.51
968,2015-08-27,1944.42
969,2015-08-28,1944.28
970,2015-08-29,1944.29
971,2015-08-30,1944.29
972,2015-08-31,1944.34
973,2015-09-01,1944.36
974,2015-09-02,1944.27
975,2015-09-03,1944.33
976,2015-09-04,1944.3
977,2015-09-05,1944.31
978,2015-09-06,1944.31
979,2015-09-07,1944.29
980,2015-09-08,1944.3
981,2015-09-09,1944.33
982,2015-09-10,1944.34
983,2015-09-11,1944.31
