,datetime,BULL_RUN_RESERVOIR_NO_1_NEAR_BULL_RUN__OR.
533,2012-06-17,1044.93
534,2012-06-18,1044.97
535,2012-06-19,1044.8
536,2012-06-20,1045.0
537,2012-06-21,1044.96
538,2012-06-22,1044.54
539,2012-06-23,1044.74
540,2012-06-24,1044.93
541,2012-06-25,1045.04
542,2012-06-26,1045.2
543,2012-06-27,1044.88
544,2012-06-28,1044.96
545,2012-06-29,1044.97
546,2012-06-30,1045.02
547,2012-07-01,1044.93
548,2012-07-02,1044.81
549,2012-07-03,1044.99
550,2012-07-04,1045.09
551,2012-07-05,1045.02
552,2012-07-06,1045.11
553,2012-07-07,1045.12
554,2012-07-08,1045.12
555,2012-07-09,1045.38
556,2012-07-10,1045.36
557,2012-07-11,1045.28
558,2012-07-12,1045.28
559,2012-07-13,1045.31
560,2012-07-14,1045.28
561,2012-07-15,1045.27
562,2012-07-16,1045.22
563,2012-07-17,1045.16
564,2012-07-18,1044.88
565,2012-07-19,1044.81
566,2012-07-20,1044.4
567,2012-07-21,1044.5
568,2012-07-22,1044.33
569,2012-07-23,1044.28
570,2012-07-24,1044.28
571,2012-07-25,1044.18
572,2012-07-26,1044.14
573,2012-07-27,1044.19
574,2012-07-28,1044.13
575,2012-07-29,1044.03
576,2012-07-30,1043.75
577,2012-07-31,1043.48
578,2012-08-01,1043.17
579,2012-08-02,1043.05
580,2012-08-03,1042.97
581,2012-08-04,1042.85
582,2012-08-05,1042.92
583,2012-08-06,1043.35
584,2012-08-07,1043.2
585,2012-08-08,1043.04
586,2012-08-09,1042.66
587,2012-08-10,1042.31
588,2012-08-11,1042.0
589,2012-08-12,1041.38
590,2012-08-13,1040.8
591,2012-08-14,1040.16
592,2012-08-15,1039.53
593,2012-08-16,1038.68
594,2012-08-17,1037.46
595,2012-08-18,1037.4
596,2012-08-19,1036.96
597,2012-08-20,1035.54
598,2012-08-21,1034.73
599,2012-08-22,1034.14
600,2012-08-23,1033.43
601,2012-08-24,1033.82
602,2012-08-25,1032.22
603,2012-08-26,1031.28
604,2012-08-27,1030.74
605,2012-08-28,1030.01
606,2012-08-29,1029.25
607,2012-08-30,1028.37
608,2012-08-31,1027.67
609,2012-09-01,1027.13
610,2012-09-02,1026.55
611,2012-09-03,1025.3
612,2012-09-04,1024.91
613,2012-09-05,1023.91
614,2012-09-06,1023.1
615,2012-09-07,1022.44
616,2012-09-08,1021.88
617,2012-09-09,1021.31
618,2012-09-10,1020.79
619,2012-09-11,1020.27
620,2012-09-12,1019.82
621,2012-09-13,1019.53
622,2012-09-14,1018.22
623,2012-09-15,1017.28
624,2012-09-16,1016.39
625,2012-09-17,1015.76
626,2012-09-18,1014.05
627,2012-09-19,1012.82
628,2012-09-20,1011.76
629,2012-09-21,1010.77
630,2012-09-22,1009.79
631,2012-09-23,1008.94
