,datetime,HILLS_CREEK_LAKE_NEAR_OAKRIDGE__OR.tsv
626,2015-04-19,1506.87
627,2015-04-20,1507.33
628,2015-04-21,1507.75
629,2015-04-22,1508.14
630,2015-04-23,1508.53
631,2015-04-24,1508.94
632,2015-04-25,1509.34
633,2015-04-26,1509.74
634,2015-04-27,1510.09
635,2015-04-28,1510.41
636,2015-04-29,1510.71
637,2015-04-30,1510.99
638,2015-05-01,1511.23
639,2015-05-02,1511.47
640,2015-05-03,1511.68
641,2015-05-04,1511.88
642,2015-05-05,1512.07
643,2015-05-06,1512.24
644,2015-05-07,1512.41
645,2015-05-08,1512.56
646,2015-05-09,1512.7
647,2015-05-10,1512.84
648,2015-05-11,1513.06
649,2015-05-12,1513.29
650,2015-05-13,1513.5
651,2015-05-14,1513.7
652,2015-05-15,1513.91
653,2015-05-16,1514.12
654,2015-05-17,1514.36
655,2015-05-18,1514.71
656,2015-05-19,1515.25
657,2015-05-20,1515.71
658,2015-05-21,1516.32
659,2015-05-22,1517.52
660,2015-05-23,1518.64
661,2015-05-24,1519.5
662,2015-05-25,1520.16
663,2015-05-26,1520.69
664,2015-05-27,1521.11
665,2015-05-28,1521.49
666,2015-05-29,1521.8
667,2015-05-30,1522.08
668,2015-05-31,1522.33
669,2015-06-01,1522.57
670,2015-06-02,1522.89
671,2015-06-03,1523.14
672,2015-06-04,1523.35
673,2015-06-05,1523.53
674,2015-06-06,1523.7
675,2015-06-07,1523.84
676,2015-06-08,1523.97
677,2015-06-09,1524.09
678,2015-06-10,1524.17
679,2015-06-11,1524.25
680,2015-06-12,1524.33
681,2015-06-13,1524.4
682,2015-06-14,1524.47
683,2015-06-15,1524.54
684,2015-06-16,1524.6
685,2015-06-17,1524.66
686,2015-06-18,1524.71
687,2015-06-19,1524.75
688,2015-06-20,1524.79
689,2015-06-21,1524.83
690,2015-06-22,1524.86
691,2015-06-23,1524.85
692,2015-06-24,1524.52
693,2015-06-25,1524.43
694,2015-06-26,1524.4
695,2015-06-27,1524.38
696,2015-06-28,1524.34
697,2015-06-29,1524.31
698,2015-06-30,1524.25
699,2015-07-01,1524.21
700,2015-07-02,1524.15
701,2015-07-03,1524.07
702,2015-07-04,1523.99
703,2015-07-05,1523.92
704,2015-07-06,1523.84
705,2015-07-07,1523.76
706,2015-07-08,1523.68
707,2015-07-09,1523.65
708,2015-07-10,1523.65
709,2015-07-11,1523.59
710,2015-07-12,1523.53
711,2015-07-13,1523.5
712,2015-07-14,1523.43
713,2015-07-15,1523.29
714,2015-07-16,1523.1
715,2015-07-17,1522.67
716,2015-07-18,1521.93
717,2015-07-19,1521.15
718,2015-07-20,1520.38
719,2015-07-21,1519.59
720,2015-07-22,1518.81
721,2015-07-23,1518.01
722,2015-07-24,1517.21
723,2015-07-25,1516.41
724,2015-07-26,1515.61
725,2015-07-27,1514.8
726,2015-07-28,1514.0
727,2015-07-29,1513.2
728,2015-07-30,1512.37
729,2015-07-31,1511.55
730,2015-08-01,1510.72
731,2015-08-02,1509.91
732,2015-08-03,1509.07
733,2015-08-04,1508.23
734,2015-08-05,1507.37
735,2015-08-06,1506.47
736,2015-08-07,1505.58
737,2015-08-08,1504.68
738,2015-08-09,1503.78
739,2015-08-10,1502.88
740,2015-08-11,1501.97
741,2015-08-12,1501.03
742,2015-08-13,1500.09
743,2015-08-14,1499.16
744,2015-08-15,1498.21
745,2015-08-16,1497.26
746,2015-08-17,1496.31
747,2015-08-18,1495.37
748,2015-08-19,1494.4
749,2015-08-20,1493.43
750,2015-08-21,1492.46
751,2015-08-22,1491.49
752,2015-08-23,1490.51
753,2015-08-24,1489.53
754,2015-08-25,1488.55
755,2015-08-26,1487.57
756,2015-08-27,1486.59
757,2015-08-28,1485.6
758,2015-08-29,1484.63
759,2015-08-30,1483.69
760,2015-08-31,1482.73
761,2015-09-01,1481.76
762,2015-09-02,1480.79
763,2015-09-03,1479.82
764,2015-09-04,1478.87
765,2015-09-05,1477.92
766,2015-09-06,1476.95
767,2015-09-07,1475.99
768,2015-09-08,1475.02
769,2015-09-09,1474.14
770,2015-09-10,1473.45
771,2015-09-11,1472.89
772,2015-09-12,1472.41
773,2015-09-13,1471.94
774,2015-09-14,1471.45
775,2015-09-15,1470.95
776,2015-09-16,1470.45
777,2015-09-17,1470.08
778,2015-09-18,1469.67
779,2015-09-19,1469.22
780,2015-09-20,1468.74
781,2015-09-21,1468.25
782,2015-09-22,1467.76
783,2015-09-23,1467.25
784,2015-09-24,1466.76
785,2015-09-25,1466.27
786,2015-09-26,1465.78
787,2015-09-27,1465.29
788,2015-09-28,1464.82
789,2015-09-29,1464.33
790,2015-09-30,1463.83
791,2015-10-01,1463.35
792,2015-10-02,1462.86
793,2015-10-03,1462.38
794,2015-10-04,1461.9
795,2015-10-05,1461.42
796,2015-10-06,1460.95
797,2015-10-07,1460.47
798,2015-10-08,1460.0
799,2015-10-09,1459.53
800,2015-10-10,1459.06
801,2015-10-11,1458.61
802,2015-10-12,1458.15
803,2015-10-13,1457.69
804,2015-10-14,1457.32
805,2015-10-15,1457.12
806,2015-10-16,1456.93
807,2015-10-17,1456.77
808,2015-10-18,1456.61
809,2015-10-19,1456.44
810,2015-10-20,1456.28
811,2015-10-21,1456.1
812,2015-10-22,1455.91
813,2015-10-23,1455.72
814,2015-10-24,1455.54
815,2015-10-25,1455.42
816,2015-10-26,1455.32
817,2015-10-27,1454.94
818,2015-10-28,1454.81
819,2015-10-29,1454.67
820,2015-10-30,1454.51
821,2015-10-31,1454.39
822,2015-11-01,1454.49
823,2015-11-02,1454.57
824,2015-11-03,1454.58
825,2015-11-04,1454.51
826,2015-11-05,1454.4
827,2015-11-06,1454.27
828,2015-11-07,1454.14
829,2015-11-08,1454.32
830,2015-11-09,1454.42
831,2015-11-10,1454.38
832,2015-11-11,1454.29
833,2015-11-12,1454.19
834,2015-11-13,1454.06
835,2015-11-14,1453.93
836,2015-11-15,1453.86
837,2015-11-16,1453.78
838,2015-11-17,1453.87
839,2015-11-18,1454.5
840,2015-11-19,1456.32
841,2015-11-20,1457.53
842,2015-11-21,1457.93
843,2015-11-22,1458.09
844,2015-11-23,1458.12
845,2015-11-24,1458.15
846,2015-11-25,1458.09
847,2015-11-26,1457.94
848,2015-11-27,1457.71
849,2015-11-28,1457.44
850,2015-11-29,1457.12
851,2015-11-30,1456.77
852,2015-12-01,1456.39
853,2015-12-02,1456.27
854,2015-12-03,1455.79
855,2015-12-04,1454.46
856,2015-12-05,1453.01
857,2015-12-06,1451.69
