,datetime,BOUNDARY_RESERVOIR_AT_FOREBAY_NR_METALINE_FALLS.tsv
752,2015-01-23,1746.1
753,2015-01-24,1739.7
754,2015-01-25,1738.1
755,2015-01-26,1734.7
756,2015-01-27,1730.6
757,2015-01-28,1746.4
758,2015-01-29,1754.7
759,2015-01-30,1755.2
760,2015-01-31,1753.5
761,2015-02-01,1751.2
762,2015-02-02,1743.4
763,2015-02-03,1740.1
764,2015-02-04,1741.9
765,2015-02-05,1732.7
766,2015-02-06,1721.0
767,2015-02-07,1723.6
768,2015-02-08,1732.3
769,2015-02-09,1726.2
770,2015-02-10,1743.7
771,2015-02-11,1749.6
772,2015-02-12,1756.7
773,2015-02-13,1760.3
774,2015-02-14,1762.9
775,2015-02-15,1770.0
776,2015-02-16,1783.0
777,2015-02-17,1784.6
778,2015-02-18,1781.3
779,2015-02-19,1778.6
780,2015-02-20,1776.1
781,2015-02-21,1782.8
782,2015-02-22,1783.8
783,2015-02-23,1783.6
784,2015-02-24,1777.7
785,2015-02-25,1776.7
786,2015-02-26,1770.5
787,2015-02-27,1763.4
788,2015-02-28,1765.5
789,2015-03-01,1752.4
790,2015-03-02,1745.5
791,2015-03-03,1747.4
792,2015-03-04,1749.4
793,2015-03-05,1749.0
794,2015-03-06,1749.8
795,2015-03-07,1746.5
796,2015-03-08,1744.1
797,2015-03-09,1741.5
798,2015-03-10,1740.9
799,2015-03-11,1745.5
800,2015-03-12,1761.7
801,2015-03-13,1761.7
802,2015-03-14,1747.2
803,2015-03-15,1748.6
804,2015-03-16,1757.2
805,2015-03-17,1754.5
806,2015-03-18,1760.3
807,2015-03-19,1758.1
808,2015-03-20,1756.1
809,2015-03-21,1756.2
810,2015-03-22,1758.5
811,2015-03-23,1755.3
812,2015-03-24,1772.2
813,2015-03-25,1782.3
814,2015-03-26,1777.8
815,2015-03-27,1768.1
816,2015-03-28,1761.8
817,2015-03-29,1767.4
818,2015-03-30,1764.7
819,2015-03-31,1757.3
820,2015-04-01,1766.2
821,2015-04-02,1769.6
822,2015-04-03,1765.6
823,2015-04-04,1760.2
824,2015-04-05,1755.8
825,2015-04-06,1752.8
826,2015-04-07,1759.8
827,2015-04-08,1762.2
828,2015-04-09,1762.5
829,2015-04-10,1756.3
830,2015-04-11,1754.6
831,2015-04-12,1763.8
832,2015-04-13,1762.6
833,2015-04-14,1765.2
834,2015-04-15,1774.4
835,2015-04-16,1775.4
836,2015-04-17,1771.1
837,2015-04-18,1771.5
838,2015-04-19,1773.0
839,2015-04-20,1764.6
840,2015-04-21,1760.8
841,2015-04-22,1763.5
842,2015-04-23,1765.0
843,2015-04-24,1759.5
844,2015-04-25,1763.5
845,2015-04-26,1771.2
846,2015-04-27,1772.1
847,2015-04-28,1764.6
848,2015-04-29,1767.6
849,2015-04-30,1776.7
850,2015-05-01,1770.0
851,2015-05-02,1770.9
852,2015-05-03,1773.1
853,2015-05-04,1765.6
854,2015-05-05,1769.8
855,2015-05-06,1774.8
856,2015-05-07,1772.3
857,2015-05-08,1773.3
858,2015-05-09,1777.4
859,2015-05-10,1778.0
860,2015-05-11,1773.6
861,2015-05-12,1771.5
862,2015-05-13,1773.0
863,2015-05-14,1773.0
864,2015-05-15,1766.8
865,2015-05-16,1767.4
866,2015-05-17,1780.1
867,2015-05-18,1780.3
868,2015-05-19,1777.0
869,2015-05-20,1777.4
870,2015-05-21,1774.1
871,2015-05-22,1778.2
872,2015-05-23,1784.3
873,2015-05-24,1784.6
874,2015-05-25,1782.9
875,2015-05-26,1785.4
876,2015-05-27,1785.2
877,2015-05-28,1787.2
878,2015-05-29,1785.9
879,2015-05-30,1782.6
880,2015-05-31,1781.2
881,2015-06-01,1780.3
882,2015-06-02,1783.1
883,2015-06-03,1781.9
884,2015-06-04,1781.9
885,2015-06-05,1780.6
886,2015-06-06,1780.3
887,2015-06-07,1785.4
888,2015-06-08,1788.5
889,2015-06-09,1789.9
890,2015-06-10,1789.4
891,2015-06-11,1794.2
892,2015-06-12,1797.4
893,2015-06-13,1796.8
894,2015-06-14,1795.3
895,2015-06-15,1793.5
896,2015-06-16,1789.2
897,2015-06-17,1789.7
898,2015-06-18,1789.6
899,2015-06-19,1791.7
900,2015-06-20,1792.1
901,2015-06-21,1790.0
902,2015-06-22,1793.4
903,2015-06-23,1791.3
904,2015-06-24,1791.3
905,2015-06-25,1793.4
906,2015-06-26,1795.0
907,2015-06-27,1795.6
908,2015-06-28,1798.2
909,2015-06-29,1802.0
910,2015-06-30,1806.0
911,2015-07-01,1806.2
912,2015-07-02,1806.3
913,2015-07-03,1802.1
914,2015-07-04,1796.8
915,2015-07-05,1802.9
916,2015-07-06,1805.5
917,2015-07-07,1800.3
918,2015-07-08,1799.3
919,2015-07-09,1792.0
920,2015-07-10,1791.2
921,2015-07-11,1794.5
922,2015-07-12,1797.3
923,2015-07-13,1794.5
924,2015-07-14,1793.3
925,2015-07-15,1790.1
926,2015-07-16,1788.2
927,2015-07-17,1789.7
928,2015-07-18,1789.3
929,2015-07-19,1788.6
930,2015-07-20,1787.6
931,2015-07-21,1781.9
932,2015-07-22,1780.0
933,2015-07-23,1782.8
934,2015-07-24,1785.7
935,2015-07-25,1784.0
936,2015-07-26,1785.8
937,2015-07-27,1790.8
938,2015-07-28,1795.9
939,2015-07-29,1792.4
940,2015-07-30,1791.4
941,2015-07-31,1789.7
942,2015-08-01,1784.6
943,2015-08-02,1787.1
944,2015-08-03,1780.8
945,2015-08-04,1780.5
946,2015-08-05,1779.1
947,2015-08-06,1781.8
948,2015-08-07,1784.8
949,2015-08-08,1783.6
950,2015-08-09,1786.7
951,2015-08-10,1786.5
952,2015-08-11,1788.0
953,2015-08-12,1787.7
954,2015-08-13,1786.0
955,2015-08-14,1780.9
956,2015-08-15,1791.3
957,2015-08-16,1791.6
958,2015-08-17,1789.5
959,2015-08-18,1787.5
960,2015-08-19,1783.9
961,2015-08-20,1773.7
962,2015-08-21,1781.5
963,2015-08-22,1790.3
964,2015-08-23,1785.0
965,2015-08-24,1778.4
966,2015-08-25,1778.7
967,2015-08-26,1778.8
968,2015-08-27,1777.5
969,2015-08-28,1774.9
970,2015-08-29,1767.0
971,2015-08-30,1771.1
972,2015-08-31,1771.6
973,2015-09-01,1767.4
974,2015-09-02,1766.1
