,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.tsv
835,2015-04-16,34730.0
836,2015-04-17,34720.0
837,2015-04-18,34700.0
838,2015-04-19,34700.0
839,2015-04-20,34680.0
840,2015-04-21,34670.0
841,2015-04-22,34660.0
842,2015-04-23,34660.0
843,2015-04-24,34670.0
844,2015-04-25,34670.0
845,2015-04-26,34670.0
846,2015-04-27,34670.0
847,2015-04-28,34660.0
848,2015-04-29,34640.0
849,2015-04-30,34640.0
850,2015-05-01,34620.0
851,2015-05-02,34610.0
852,2015-05-03,34600.0
853,2015-05-04,34580.0
854,2015-05-05,34580.0
855,2015-05-06,34570.0
856,2015-05-07,34550.0
857,2015-05-08,34600.0
858,2015-05-09,34590.0
859,2015-05-10,34590.0
860,2015-05-11,34580.0
861,2015-05-12,34570.0
862,2015-05-13,34550.0
863,2015-05-14,34580.0
864,2015-05-15,34630.0
865,2015-05-16,34620.0
866,2015-05-17,34610.0
867,2015-05-18,34610.0
868,2015-05-19,34590.0
869,2015-05-20,34580.0
870,2015-05-21,34570.0
871,2015-05-22,34580.0
872,2015-05-23,34570.0
873,2015-05-24,34570.0
874,2015-05-25,34560.0
875,2015-05-26,34560.0
876,2015-05-27,34550.0
877,2015-05-28,34550.0
878,2015-05-29,34540.0
879,2015-05-30,34530.0
880,2015-05-31,34520.0
881,2015-06-01,34510.0
882,2015-06-02,34490.0
883,2015-06-03,34490.0
884,2015-06-04,34470.0
885,2015-06-05,34460.0
886,2015-06-06,34440.0
887,2015-06-07,34430.0
888,2015-06-08,34430.0
889,2015-06-09,34420.0
890,2015-06-10,34400.0
891,2015-06-11,34390.0
892,2015-06-12,34380.0
893,2015-06-13,34370.0
894,2015-06-14,34360.0
895,2015-06-15,34350.0
896,2015-06-16,34330.0
897,2015-06-17,34310.0
898,2015-06-18,34310.0
899,2015-06-19,34290.0
900,2015-06-20,34270.0
901,2015-06-21,34260.0
902,2015-06-22,34240.0
903,2015-06-23,34240.0
904,2015-06-24,34210.0
905,2015-06-25,34200.0
906,2015-06-26,34190.0
907,2015-06-27,34190.0
908,2015-06-28,34170.0
909,2015-06-29,34160.0
910,2015-06-30,34190.0
911,2015-07-01,34180.0
912,2015-07-02,34170.0
913,2015-07-03,34160.0
914,2015-07-04,34140.0
915,2015-07-05,34130.0
916,2015-07-06,34110.0
917,2015-07-07,34100.0
918,2015-07-08,34080.0
919,2015-07-09,34070.0
920,2015-07-10,34050.0
921,2015-07-11,34030.0
922,2015-07-12,34020.0
923,2015-07-13,34010.0
924,2015-07-14,33980.0
925,2015-07-15,33970.0
