,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.tsv
969,2015-08-28,872.56
970,2015-08-29,874.05
971,2015-08-30,872.28
972,2015-08-31,872.86
973,2015-09-01,871.95
974,2015-09-02,871.58
975,2015-09-03,871.52
976,2015-09-04,870.31
977,2015-09-05,870.83
978,2015-09-06,871.56
979,2015-09-07,872.65
980,2015-09-08,872.14
981,2015-09-09,871.83
982,2015-09-10,871.84
983,2015-09-11,871.48
984,2015-09-12,871.25
985,2015-09-13,871.56
986,2015-09-14,870.09
987,2015-09-15,871.54
988,2015-09-16,871.46
989,2015-09-17,870.94
990,2015-09-18,871.27
991,2015-09-19,872.23
992,2015-09-20,873.24
993,2015-09-21,870.86
994,2015-09-22,871.02
995,2015-09-23,871.32
996,2015-09-24,871.46
997,2015-09-25,870.76
998,2015-09-26,869.87
999,2015-09-27,870.76
1000,2015-09-28,870.72
1001,2015-09-29,870.85
1002,2015-09-30,870.34
1003,2015-10-01,870.68
1004,2015-10-02,871.0
1005,2015-10-03,870.69
1006,2015-10-04,870.6
1007,2015-10-05,870.54
1008,2015-10-06,870.43
1009,2015-10-07,871.11
1010,2015-10-08,870.59
1011,2015-10-09,870.7
1012,2015-10-10,873.57
1013,2015-10-11,871.92
1014,2015-10-12,870.94
1015,2015-10-13,871.77
1016,2015-10-14,870.62
1017,2015-10-15,870.29
1018,2015-10-16,870.42
1019,2015-10-17,870.53
1020,2015-10-18,870.52
1021,2015-10-19,870.5
1022,2015-10-20,870.86
1023,2015-10-21,870.69
1024,2015-10-22,870.25
1025,2015-10-23,870.26
1026,2015-10-24,870.51
1027,2015-10-25,870.67
1028,2015-10-26,870.3
1029,2015-10-27,870.32
1030,2015-10-28,870.75
1031,2015-10-29,871.35
1032,2015-10-30,870.65
1033,2015-10-31,870.54
1034,2015-11-01,869.42
1035,2015-11-02,869.85
1036,2015-11-03,871.58
1037,2015-11-04,871.59
1038,2015-11-05,871.2
1039,2015-11-06,870.85
1040,2015-11-07,871.63
1041,2015-11-08,870.8
1042,2015-11-09,871.3
1043,2015-11-10,871.25
1044,2015-11-11,869.34
1045,2015-11-12,860.69
1046,2015-11-13,872.35
1047,2015-11-14,870.01
1048,2015-11-15,871.09
1049,2015-11-16,863.44
1050,2015-11-17,868.58
1051,2015-11-18,868.95
1052,2015-11-19,869.71
1053,2015-11-20,871.41
1054,2015-11-21,871.14
1055,2015-11-22,870.07
1056,2015-11-23,870.35
