,datetime,COUGAR_LAKE_NEAR_RAINBOW__OR.tsv
602,2015-05-12,1597.99
603,2015-05-13,1598.22
604,2015-05-14,1598.42
605,2015-05-15,1598.61
606,2015-05-16,1598.8
607,2015-05-17,1598.96
608,2015-05-18,1599.22
609,2015-05-19,1599.58
610,2015-05-20,1599.84
611,2015-05-21,1600.18
612,2015-05-22,1600.77
613,2015-05-23,1601.26
614,2015-05-24,1601.67
615,2015-05-25,1602.02
616,2015-05-26,1602.3
617,2015-05-27,1602.55
618,2015-05-28,1602.75
619,2015-05-29,1602.94
620,2015-05-30,1603.09
621,2015-05-31,1603.21
622,2015-06-01,1603.38
623,2015-06-02,1603.61
624,2015-06-03,1603.81
625,2015-06-04,1603.93
626,2015-06-05,1604.03
627,2015-06-06,1604.11
628,2015-06-07,1604.17
629,2015-06-08,1604.2
630,2015-06-09,1604.22
631,2015-06-10,1604.22
632,2015-06-11,1604.11
633,2015-06-12,1603.88
634,2015-06-13,1603.64
635,2015-06-14,1603.39
636,2015-06-15,1603.11
637,2015-06-16,1602.82
638,2015-06-17,1602.63
639,2015-06-18,1602.53
640,2015-06-19,1602.4
641,2015-06-20,1602.27
642,2015-06-21,1602.14
643,2015-06-22,1601.99
644,2015-06-23,1601.82
645,2015-06-24,1601.69
646,2015-06-25,1601.56
647,2015-06-26,1601.4
648,2015-06-27,1601.25
649,2015-06-28,1601.08
650,2015-06-29,1600.9
651,2015-06-30,1600.71
652,2015-07-01,1600.52
653,2015-07-02,1600.31
654,2015-07-03,1600.11
655,2015-07-04,1599.89
656,2015-07-05,1599.67
657,2015-07-06,1599.44
658,2015-07-07,1599.21
659,2015-07-08,1598.96
660,2015-07-09,1598.75
661,2015-07-10,1598.58
662,2015-07-11,1598.37
663,2015-07-12,1598.13
664,2015-07-13,1597.9
665,2015-07-14,1597.66
666,2015-07-15,1597.4
667,2015-07-16,1597.13
668,2015-07-17,1596.86
669,2015-07-18,1596.6
670,2015-07-19,1596.32
671,2015-07-20,1596.06
672,2015-07-21,1595.79
673,2015-07-22,1595.52
674,2015-07-23,1595.23
675,2015-07-24,1594.95
676,2015-07-25,1594.66
677,2015-07-26,1594.38
678,2015-07-27,1594.09
679,2015-07-28,1593.8
680,2015-07-29,1593.52
681,2015-07-30,1593.23
682,2015-07-31,1592.93
683,2015-08-01,1592.63
684,2015-08-02,1592.33
685,2015-08-03,1592.04
686,2015-08-04,1591.74
687,2015-08-05,1591.43
688,2015-08-06,1591.11
689,2015-08-07,1590.79
690,2015-08-08,1590.47
691,2015-08-09,1590.15
692,2015-08-10,1589.82
693,2015-08-11,1589.5
694,2015-08-12,1589.16
695,2015-08-13,1588.82
696,2015-08-14,1588.47
697,2015-08-15,1588.11
698,2015-08-16,1587.75
699,2015-08-17,1587.39
700,2015-08-18,1587.04
701,2015-08-19,1586.69
702,2015-08-20,1586.34
703,2015-08-21,1585.99
704,2015-08-22,1585.62
705,2015-08-23,1585.26
706,2015-08-24,1584.89
707,2015-08-25,1584.52
708,2015-08-26,1584.15
709,2015-08-27,1583.78
710,2015-08-28,1583.42
711,2015-08-29,1583.11
712,2015-08-30,1582.8
713,2015-08-31,1582.47
714,2015-09-01,1582.12
715,2015-09-02,1581.78
716,2015-09-03,1581.42
717,2015-09-04,1581.08
718,2015-09-05,1580.73
719,2015-09-06,1580.35
720,2015-09-07,1579.98
721,2015-09-08,1579.61
722,2015-09-09,1579.24
723,2015-09-10,1578.86
724,2015-09-11,1578.49
725,2015-09-12,1578.11
726,2015-09-13,1577.74
727,2015-09-14,1577.33
728,2015-09-15,1576.92
729,2015-09-16,1576.51
730,2015-09-17,1576.5
731,2015-09-18,1576.21
732,2015-09-19,1575.87
733,2015-09-20,1575.48
734,2015-09-21,1575.1
735,2015-09-22,1574.72
736,2015-09-23,1574.32
737,2015-09-24,1573.92
738,2015-09-25,1573.52
739,2015-09-26,1573.09
740,2015-09-27,1572.66
741,2015-09-28,1572.23
742,2015-09-29,1571.81
743,2015-09-30,1571.38
744,2015-10-01,1570.95
745,2015-10-02,1570.54
746,2015-10-03,1570.09
747,2015-10-04,1569.68
748,2015-10-05,1569.23
749,2015-10-06,1568.79
750,2015-10-07,1568.36
751,2015-10-08,1567.82
752,2015-10-09,1567.23
753,2015-10-10,1566.71
754,2015-10-11,1566.09
755,2015-10-12,1565.47
756,2015-10-13,1564.84
757,2015-10-14,1564.17
758,2015-10-15,1563.53
759,2015-10-16,1562.89
760,2015-10-17,1562.25
761,2015-10-18,1561.58
762,2015-10-19,1560.9
763,2015-10-20,1560.25
764,2015-10-21,1559.65
765,2015-10-22,1559.22
766,2015-10-23,1558.79
767,2015-10-24,1558.37
768,2015-10-25,1558.02
769,2015-10-26,1557.69
770,2015-10-27,1557.28
771,2015-10-28,1556.98
772,2015-10-29,1556.74
773,2015-10-30,1556.42
774,2015-10-31,1556.25
775,2015-11-01,1556.97
776,2015-11-02,1557.17
777,2015-11-03,1557.06
778,2015-11-04,1556.82
779,2015-11-05,1556.52
780,2015-11-06,1556.2
781,2015-11-07,1555.89
782,2015-11-08,1555.86
783,2015-11-09,1555.85
784,2015-11-10,1555.61
785,2015-11-11,1555.42
786,2015-11-12,1555.17
787,2015-11-13,1554.93
788,2015-11-14,1554.66
789,2015-11-15,1554.46
790,2015-11-16,1554.28
791,2015-11-17,1555.16
792,2015-11-18,1557.64
793,2015-11-19,1564.03
794,2015-11-20,1566.0
795,2015-11-21,1565.77
796,2015-11-22,1564.77
797,2015-11-23,1563.49
798,2015-11-24,1561.77
799,2015-11-25,1559.46
800,2015-11-26,1556.91
801,2015-11-27,1554.21
802,2015-11-28,1551.44
803,2015-11-29,1548.63
804,2015-11-30,1545.74
805,2015-12-01,1542.81
806,2015-12-02,1540.37
807,2015-12-03,1538.0
808,2015-12-04,1535.93
809,2015-12-05,1533.59
810,2015-12-06,1532.14
811,2015-12-07,1539.36
812,2015-12-08,1545.3
813,2015-12-09,1551.69
814,2015-12-10,1554.8
815,2015-12-11,1553.46
816,2015-12-12,1553.18
817,2015-12-13,1555.76
818,2015-12-14,1554.15
819,2015-12-15,1550.92
820,2015-12-16,1546.91
821,2015-12-17,1550.51
822,2015-12-18,1558.79
823,2015-12-19,1560.05
824,2015-12-20,1561.09
825,2015-12-21,1564.8
826,2015-12-22,1568.49
827,2015-12-23,1565.76
828,2015-12-24,1561.41
829,2015-12-25,1556.39
830,2015-12-26,1550.99
831,2015-12-27,1545.39
832,2015-12-28,1540.53
833,2015-12-29,1537.92
834,2015-12-30,1536.62
835,2015-12-31,1536.3
836,2016-01-01,1535.85
837,2016-01-02,1535.32
838,2016-01-03,1534.81
839,2016-01-04,1534.44
840,2016-01-05,1534.27
841,2016-01-06,1534.33
842,2016-01-07,1534.38
843,2016-01-08,1534.37
844,2016-01-09,1534.36
845,2016-01-10,1534.23
846,2016-01-11,1534.14
847,2016-01-12,1534.4
848,2016-01-13,1535.65
849,2016-01-14,1536.84
850,2016-01-15,1535.65
851,2016-01-16,1536.29
852,2016-01-17,1537.62
853,2016-01-18,1539.64
854,2016-01-19,1541.64
855,2016-01-20,1543.78
856,2016-01-21,1543.54
857,2016-01-22,1542.85
858,2016-01-23,1541.98
859,2016-01-24,1540.63
860,2016-01-25,1538.5
861,2016-01-26,1535.93
862,2016-01-27,1533.6
863,2016-01-28,1534.24
864,2016-01-29,1534.56
865,2016-01-30,1533.43
866,2016-01-31,1531.23
867,2016-02-01,1529.16
868,2016-02-02,1528.38
869,2016-02-03,1527.67
870,2016-02-04,1527.43
871,2016-02-05,1527.48
872,2016-02-06,1527.83
873,2016-02-07,1528.23
874,2016-02-08,1529.06
875,2016-02-09,1530.52
876,2016-02-10,1531.59
877,2016-02-11,1531.65
878,2016-02-12,1531.3
879,2016-02-13,1531.18
880,2016-02-14,1533.31
881,2016-02-15,1533.51
882,2016-02-16,1531.79
883,2016-02-17,1530.2
884,2016-02-18,1528.99
885,2016-02-19,1528.75
886,2016-02-20,1529.08
887,2016-02-21,1528.96
888,2016-02-22,1528.74
889,2016-02-23,1528.53
890,2016-02-24,1528.24
891,2016-02-25,1526.75
892,2016-02-26,1524.04
893,2016-02-27,1521.46
894,2016-02-28,1518.6
895,2016-02-29,1516.56
896,2016-03-01,1514.95
897,2016-03-02,1511.96
898,2016-03-03,1509.61
899,2016-03-04,1506.54
900,2016-03-05,1503.84
901,2016-03-06,1501.19
902,2016-03-07,1498.2
903,2016-03-08,1494.98
904,2016-03-09,1491.88
905,2016-03-10,1489.66
906,2016-03-11,1486.97
907,2016-03-12,1484.29
908,2016-03-13,1482.01
909,2016-03-14,1479.39
910,2016-03-15,1476.91
911,2016-03-16,1474.77
912,2016-03-17,1472.68
913,2016-03-18,1469.44
914,2016-03-19,1466.82
915,2016-03-20,1464.23
916,2016-03-21,1461.61
917,2016-03-22,1459.02
918,2016-03-23,1457.49
919,2016-03-24,1458.38
920,2016-03-25,1457.78
921,2016-03-26,1456.19
922,2016-03-27,1456.3
923,2016-03-28,1456.06
924,2016-03-29,1456.11
925,2016-03-30,1457.3049999999998
926,2016-03-31,1458.5
927,2016-04-01,1461.33
928,2016-04-02,1464.86
929,2016-04-03,1467.74
930,2016-04-04,1471.04
931,2016-04-05,1474.65
932,2016-04-06,1477.93
933,2016-04-07,1481.43
934,2016-04-08,1485.67
935,2016-04-09,1490.01
936,2016-04-10,1494.08
937,2016-04-11,1497.57
938,2016-04-12,1500.72
939,2016-04-13,1503.55
940,2016-04-14,1506.55
941,2016-04-15,1509.98
942,2016-04-16,1512.88
943,2016-04-17,1515.67
944,2016-04-18,1518.57
945,2016-04-19,1521.5
946,2016-04-20,1524.51
947,2016-04-21,1527.42
948,2016-04-22,1530.03
949,2016-04-23,1532.67
950,2016-04-24,1536.38
951,2016-04-25,1539.43
952,2016-04-26,1541.92
953,2016-04-27,1544.02
954,2016-04-28,1545.85
955,2016-04-29,1547.56
956,2016-04-30,1549.23
957,2016-05-01,1550.78
958,2016-05-02,1552.19
959,2016-05-03,1553.62
960,2016-05-04,1555.14
961,2016-05-05,1556.58
962,2016-05-06,1557.93
963,2016-05-07,1559.23
964,2016-05-08,1560.5
965,2016-05-09,1561.63
966,2016-05-10,1562.64
967,2016-05-11,1563.52
968,2016-05-12,1564.32
969,2016-05-13,1565.08
970,2016-05-14,1565.81
971,2016-05-15,1566.57
972,2016-05-16,1567.31
973,2016-05-17,1567.96
974,2016-05-18,1568.55
975,2016-05-19,1569.18
976,2016-05-20,1569.81
977,2016-05-21,1570.57
978,2016-05-22,1571.34
979,2016-05-23,1572.01
980,2016-05-24,1572.55
981,2016-05-25,1573.06
982,2016-05-26,1573.6
983,2016-05-27,1574.07
984,2016-05-28,1574.48
985,2016-05-29,1574.83
986,2016-05-30,1575.15
