,datetime,LAKE_HAVASU_NEAR_PARKER_DAM__AZ-CA.tsv
516,2014-06-01,593149.22
517,2014-06-02,593349.23
518,2014-06-03,594849.31
519,2014-06-04,593749.25
520,2014-06-05,597449.44
521,2014-06-06,598049.47
522,2014-06-07,598449.49
523,2014-06-08,596649.4
524,2014-06-09,593549.24
525,2014-06-10,588248.97
526,2014-06-11,584948.8
527,2014-06-12,588248.97
528,2014-06-13,588949.01
529,2014-06-14,591749.15
530,2014-06-15,593349.23
531,2014-06-16,594349.28
532,2014-06-17,592549.19
533,2014-06-18,593349.23
534,2014-06-19,595049.32
535,2014-06-20,595649.35
536,2014-06-21,594649.3
537,2014-06-22,592149.17
538,2014-06-23,588648.99
539,2014-06-24,584848.79
540,2014-06-25,580848.58
541,2014-06-26,584848.79
542,2014-06-27,582348.66
543,2014-06-28,582348.66
544,2014-06-29,582148.65
545,2014-06-30,580648.57
546,2014-07-01,579848.53
547,2014-07-02,579448.51
548,2014-07-03,582348.66
549,2014-07-04,586848.9
550,2014-07-05,591949.16
551,2014-07-06,595649.35
552,2014-07-07,593149.22
553,2014-07-08,590949.11
554,2014-07-09,587648.94
555,2014-07-10,591149.12
556,2014-07-11,591349.13
557,2014-07-12,592949.21
558,2014-07-13,592549.19
559,2014-07-14,592549.19
560,2014-07-15,591349.13
561,2014-07-16,588749.0
562,2014-07-17,589949.06
563,2014-07-18,587848.95
564,2014-07-19,586548.88
565,2014-07-20,584448.77
566,2014-07-21,583248.71
567,2014-07-22,582848.69
568,2014-07-23,582848.69
569,2014-07-24,588648.99
570,2014-07-25,586848.9
571,2014-07-26,588949.01
572,2014-07-27,588248.97
573,2014-07-28,586848.9
574,2014-07-29,586148.86
575,2014-07-30,585748.84
576,2014-07-31,587848.95
577,2014-08-01,591149.12
578,2014-08-02,590749.1
579,2014-08-03,593949.26
580,2014-08-04,599649.55
581,2014-08-05,597249.43
582,2014-08-06,594149.27
583,2014-08-07,593549.24
584,2014-08-08,591149.12
585,2014-08-09,590949.11
586,2014-08-10,592349.18
587,2014-08-11,593149.22
588,2014-08-12,599649.55
589,2014-08-13,604449.79
590,2014-08-14,607449.94
591,2014-08-15,605049.82
592,2014-08-16,603849.76
593,2014-08-17,599049.52
594,2014-08-18,597449.44
595,2014-08-19,595049.32
596,2014-08-20,595649.35
597,2014-08-21,602449.69
598,2014-08-22,604449.79
599,2014-08-23,602849.71
600,2014-08-24,599849.56
601,2014-08-25,596449.39
602,2014-08-26,596449.39
603,2014-08-27,596649.4
604,2014-08-28,600249.58
605,2014-08-29,594649.3
606,2014-08-30,589149.02
607,2014-08-31,584248.76
608,2014-09-01,579248.5
609,2014-09-02,576248.34
610,2014-09-03,573748.21
611,2014-09-04,575148.28
612,2014-09-05,578948.48
613,2014-09-06,581748.63
614,2014-09-07,583648.73
615,2014-09-08,585548.83
616,2014-09-09,587848.95
617,2014-09-10,589149.02
618,2014-09-11,592749.2
619,2014-09-12,593349.23
620,2014-09-13,591949.16
621,2014-09-14,592349.18
622,2014-09-15,589949.06
623,2014-09-16,591349.13
624,2014-09-17,590549.09
625,2014-09-18,591149.12
626,2014-09-19,588048.96
627,2014-09-20,583848.74
628,2014-09-21,582748.68
629,2014-09-22,580448.56
630,2014-09-23,578948.48
631,2014-09-24,581148.6
632,2014-09-25,583648.73
633,2014-09-26,585148.81
634,2014-09-27,586648.89
635,2014-09-28,585748.84
636,2014-09-29,586548.88
637,2014-09-30,585748.84
638,2014-10-01,590549.09
639,2014-10-02,591549.14
640,2014-10-03,588048.96
641,2014-10-04,584648.78
642,2014-10-05,578748.47
643,2014-10-06,575848.32
644,2014-10-07,573948.22
645,2014-10-08,577548.41
646,2014-10-09,584648.78
647,2014-10-10,591549.14
648,2014-10-11,597049.42
649,2014-10-12,601249.63
650,2014-10-13,602849.71
651,2014-10-14,602249.68
652,2014-10-15,603049.72
653,2014-10-16,605649.85
654,2014-10-17,604649.8
655,2014-10-18,604249.78
656,2014-10-19,604049.77
657,2014-10-20,606249.88
658,2014-10-21,604649.8
659,2014-10-22,602249.68
660,2014-10-23,600049.57
661,2014-10-24,593149.22
662,2014-10-25,587848.95
663,2014-10-26,581948.64
664,2014-10-27,575648.31
665,2014-10-28,569948.01
666,2014-10-29,563047.64
667,2014-10-30,558547.4
668,2014-10-31,552347.07
669,2014-11-01,547946.83
670,2014-11-02,546846.77
671,2014-11-03,545046.67
672,2014-11-04,543846.6
673,2014-11-05,540946.44
674,2014-11-06,542546.53
675,2014-11-07,542746.54
676,2014-11-08,545046.67
677,2014-11-09,547046.78
678,2014-11-10,547046.78
679,2014-11-11,544346.63
680,2014-11-12,546746.76
681,2014-11-13,549046.89
682,2014-11-14,550346.96
683,2014-11-15,550446.97
684,2014-11-16,551247.01
685,2014-11-17,550646.98
686,2014-11-18,553647.14
687,2014-11-19,554147.17
688,2014-11-20,557947.37
689,2014-11-21,560547.51
690,2014-11-22,561547.56
691,2014-11-23,561747.57
692,2014-11-24,563547.67
693,2014-11-25,564347.71
694,2014-11-26,566047.8
695,2014-11-27,569647.99
696,2014-11-28,574748.26
697,2014-11-29,576848.37
698,2014-11-30,577248.39
699,2014-12-01,577048.38
700,2014-12-02,576048.33
701,2014-12-03,577248.39
702,2014-12-04,578348.45
703,2014-12-05,576448.35
704,2014-12-06,575148.28
705,2014-12-07,573348.19
706,2014-12-08,571648.1
707,2014-12-09,569948.01
708,2014-12-10,571648.1
709,2014-12-11,572448.14
710,2014-12-12,573348.19
711,2014-12-13,573548.2
712,2014-12-14,570548.04
713,2014-12-15,566047.8
714,2014-12-16,563247.65
715,2014-12-17,563047.64
716,2014-12-18,567547.88
717,2014-12-19,568147.91
718,2014-12-20,570548.04
719,2014-12-21,569748.0
720,2014-12-22,572648.15
721,2014-12-23,572248.13
722,2014-12-24,569948.01
723,2014-12-25,570348.03
724,2014-12-26,566447.82
725,2014-12-27,560247.49
726,2014-12-28,559647.5091666667
727,2014-12-29,553047.5283333333
728,2014-12-30,552347.5475
729,2014-12-31,553247.5666666667
730,2015-01-01,550847.5858333333
731,2015-01-02,552847.605
732,2015-01-03,549447.6241666666
733,2015-01-04,550347.6433333333
734,2015-01-05,550847.6625
735,2015-01-06,555147.6816666666
736,2015-01-07,558147.7008333333
737,2015-01-08,564547.72
738,2015-01-09,566047.8
739,2015-01-10,566947.85
740,2015-01-11,565847.79
741,2015-01-12,566047.8
742,2015-01-13,565447.77
743,2015-01-14,562247.6
744,2015-01-15,559447.45
745,2015-01-16,557347.34
746,2015-01-17,556847.31
747,2015-01-18,554747.2
