,datetime,LAKE_H_G_WEST_FOREBAY_AT_LOWER_MONUMENTAL_DAM__WA.tsv
681,2015-01-22,342.38680203045686
682,2015-01-23,342.2781725888325
683,2015-01-24,342.1695431472081
684,2015-01-25,342.06091370558374
685,2015-01-26,341.9522842639594
686,2015-01-27,341.843654822335
687,2015-01-28,341.7350253807107
688,2015-01-29,341.6263959390863
689,2015-01-30,341.51776649746193
690,2015-01-31,341.40913705583756
691,2015-02-01,341.3005076142132
692,2015-02-02,341.1918781725889
693,2015-02-03,341.08324873096444
694,2015-02-04,340.9746192893401
695,2015-02-05,340.86598984771575
696,2015-02-06,340.7573604060914
697,2015-02-07,340.648730964467
698,2015-02-08,340.54010152284263
699,2015-02-09,340.43147208121826
700,2015-02-10,340.3228426395939
701,2015-02-11,340.2142131979695
702,2015-02-12,340.1055837563452
703,2015-02-13,339.9969543147208
704,2015-02-14,339.8883248730964
705,2015-02-15,339.7796954314721
706,2015-02-16,339.6710659898477
707,2015-02-17,339.56243654822333
708,2015-02-18,339.453807106599
709,2015-02-19,339.34517766497464
710,2015-02-20,339.23654822335027
711,2015-02-21,339.1279187817259
712,2015-02-22,339.0192893401015
713,2015-02-23,338.91065989847715
714,2015-02-24,338.8020304568528
715,2015-02-25,338.69340101522846
716,2015-02-26,338.58477157360403
717,2015-02-27,338.4761421319797
718,2015-02-28,338.36751269035534
719,2015-03-01,338.25888324873097
720,2015-03-02,338.15025380710665
721,2015-03-03,338.0416243654822
722,2015-03-04,337.9329949238579
723,2015-03-05,337.8243654822335
724,2015-03-06,337.71573604060916
725,2015-03-07,337.6071065989848
726,2015-03-08,337.4984771573604
727,2015-03-09,337.38984771573604
728,2015-03-10,337.28121827411167
729,2015-03-11,337.17258883248735
730,2015-03-12,337.0639593908629
731,2015-03-13,336.95532994923855
732,2015-03-14,336.84670050761423
733,2015-03-15,336.73807106598986
734,2015-03-16,336.6294416243655
735,2015-03-17,336.5208121827411
736,2015-03-18,336.41218274111674
737,2015-03-19,336.30355329949236
738,2015-03-20,336.19492385786805
739,2015-03-21,336.0862944162436
740,2015-03-22,335.9776649746193
741,2015-03-23,335.86903553299487
742,2015-03-24,335.76040609137056
743,2015-03-25,335.65177664974624
744,2015-03-26,335.54314720812187
745,2015-03-27,335.43451776649744
746,2015-03-28,335.3258883248731
747,2015-03-29,335.21725888324875
748,2015-03-30,335.1086294416243
749,2015-03-31,335.0
750,2015-04-01,332.5
751,2015-04-02,330.5
752,2015-04-03,329.7
753,2015-04-04,331.0
754,2015-04-05,339.0
755,2015-04-06,347.6
756,2015-04-07,350.0
757,2015-04-08,350.4
758,2015-04-09,350.6
759,2015-04-10,355.3
760,2015-04-11,358.5
761,2015-04-12,355.4
762,2015-04-13,358.0
763,2015-04-14,354.5
764,2015-04-15,348.2
765,2015-04-16,351.0
766,2015-04-17,354.1
767,2015-04-18,354.9
768,2015-04-19,361.7
769,2015-04-20,367.6
770,2015-04-21,370.2
771,2015-04-22,371.3
772,2015-04-23,374.6
773,2015-04-24,373.0
774,2015-04-25,368.6
775,2015-04-26,363.4
776,2015-04-27,364.2
777,2015-04-28,369.0
778,2015-04-29,367.1
779,2015-04-30,372.3
780,2015-05-01,374.2
781,2015-05-02,371.1
782,2015-05-03,373.3
783,2015-05-04,373.4
784,2015-05-05,372.7
785,2015-05-06,371.9
786,2015-05-07,370.6
787,2015-05-08,371.9
788,2015-05-09,372.8
789,2015-05-10,373.3
790,2015-05-11,376.0
791,2015-05-12,377.0
792,2015-05-13,376.6
793,2015-05-14,373.4
794,2015-05-15,372.6
795,2015-05-16,372.9
796,2015-05-17,371.2
797,2015-05-18,371.0
798,2015-05-19,376.5
799,2015-05-20,379.0
800,2015-05-21,380.6
801,2015-05-22,382.3
802,2015-05-23,380.5
803,2015-05-24,378.7
804,2015-05-25,379.7
805,2015-05-26,380.3
806,2015-05-27,378.7
807,2015-05-28,379.4
808,2015-05-29,382.8
809,2015-05-30,384.8
810,2015-05-31,388.3
811,2015-06-01,388.1
812,2015-06-02,385.5
813,2015-06-03,381.7
814,2015-06-04,380.9
815,2015-06-05,384.1
816,2015-06-06,386.6
817,2015-06-07,387.2
818,2015-06-08,390.3
819,2015-06-09,393.0
820,2015-06-10,392.5
821,2015-06-11,390.5
822,2015-06-12,387.0
823,2015-06-13,386.5
824,2015-06-14,383.2
825,2015-06-15,385.3
826,2015-06-16,390.4
827,2015-06-17,390.4
828,2015-06-18,391.3
829,2015-06-19,391.4
830,2015-06-20,391.3
831,2015-06-21,392.0
832,2015-06-22,386.7
833,2015-06-23,383.9
834,2015-06-24,386.8
835,2015-06-25,386.3
836,2015-06-26,385.3
837,2015-06-27,386.4
838,2015-06-28,389.0
839,2015-06-29,389.0
840,2015-06-30,388.4
841,2015-07-01,387.4
842,2015-07-02,387.6
843,2015-07-03,386.7
844,2015-07-04,389.7
845,2015-07-05,390.0
846,2015-07-06,390.7
847,2015-07-07,388.1
848,2015-07-08,387.0
849,2015-07-09,388.3
850,2015-07-10,386.7
851,2015-07-11,384.7
852,2015-07-12,384.5
853,2015-07-13,382.9
854,2015-07-14,383.1
855,2015-07-15,381.4
856,2015-07-16,381.9
857,2015-07-17,385.8
858,2015-07-18,386.3
859,2015-07-19,382.3
860,2015-07-20,378.1
861,2015-07-21,382.7
862,2015-07-22,380.3
863,2015-07-23,377.9
864,2015-07-24,377.0
865,2015-07-25,375.9
866,2015-07-26,379.8
867,2015-07-27,376.8
868,2015-07-28,372.5
869,2015-07-29,370.7
870,2015-07-30,370.3
871,2015-07-31,374.4
872,2015-08-01,378.8
873,2015-08-02,375.8
874,2015-08-03,371.0
875,2015-08-04,373.7
876,2015-08-05,374.9
877,2015-08-06,376.2
878,2015-08-07,380.2
879,2015-08-08,376.0
880,2015-08-09,372.7
881,2015-08-10,376.9
882,2015-08-11,380.0
883,2015-08-12,379.6
884,2015-08-13,379.1
885,2015-08-14,373.2
886,2015-08-15,371.0
887,2015-08-16,372.9
888,2015-08-17,373.0
889,2015-08-18,370.8
890,2015-08-19,368.4
891,2015-08-20,373.9
892,2015-08-21,376.0
893,2015-08-22,375.0
894,2015-08-23,378.8
895,2015-08-24,375.1
896,2015-08-25,368.1
897,2015-08-26,368.0
898,2015-08-27,367.1
899,2015-08-28,371.7
900,2015-08-29,375.0
901,2015-08-30,371.8
902,2015-08-31,368.4
903,2015-09-01,367.2
904,2015-09-02,361.8
905,2015-09-03,361.2
906,2015-09-04,360.6
907,2015-09-05,359.0
908,2015-09-06,356.5
909,2015-09-07,355.1
910,2015-09-08,353.5
911,2015-09-09,351.1
912,2015-09-10,347.9
913,2015-09-11,346.9
914,2015-09-12,349.0
915,2015-09-13,348.5
916,2015-09-14,345.3
917,2015-09-15,347.2
918,2015-09-16,350.3
919,2015-09-17,343.3
920,2015-09-18,338.9
921,2015-09-19,341.1
922,2015-09-20,339.3
923,2015-09-21,339.1977401129943
924,2015-09-22,339.0954802259887
925,2015-09-23,338.99322033898306
926,2015-09-24,338.89096045197743
927,2015-09-25,338.78870056497175
928,2015-09-26,338.68644067796606
929,2015-09-27,338.58418079096043
930,2015-09-28,338.4819209039548
931,2015-09-29,338.37966101694917
932,2015-09-30,338.27740112994354
933,2015-10-01,338.17514124293785
934,2015-10-02,338.0728813559322
935,2015-10-03,337.97062146892654
