,datetime,MOSES_LAKE_AT_MOSES_LAKE__WA.
1845,2016-01-20,1041.59
1846,2016-01-21,1041.64
1847,2016-01-22,1041.68
1848,2016-01-23,1041.72
1849,2016-01-24,1041.76
1850,2016-01-25,1041.79
1851,2016-01-26,1041.83
1852,2016-01-27,1041.87
1853,2016-01-28,1041.92
1854,2016-01-29,1041.96
1855,2016-01-30,1042.01
1856,2016-01-31,1042.05
1857,2016-02-01,1042.09
1858,2016-02-02,1042.13
1859,2016-02-03,1042.17
1860,2016-02-04,1042.22
1861,2016-02-05,1042.26
1862,2016-02-06,1042.31
1863,2016-02-07,1042.35
1864,2016-02-08,1042.39
1865,2016-02-09,1042.43
1866,2016-02-10,1042.48
1867,2016-02-11,1042.52
1868,2016-02-12,1042.56
1869,2016-02-13,1042.61
1870,2016-02-14,1042.65
1871,2016-02-15,1042.71
1872,2016-02-16,1042.74
1873,2016-02-17,1042.76
1874,2016-02-18,1042.82
1875,2016-02-19,1042.87
1876,2016-02-20,1042.91
1877,2016-02-21,1042.93
1878,2016-02-22,1042.96
1879,2016-02-23,1042.98
1880,2016-02-24,1043.01
1881,2016-02-25,1043.05
1882,2016-02-26,1043.08
1883,2016-02-27,1043.12
1884,2016-02-28,1043.16
1885,2016-02-29,1043.2
1886,2016-03-01,1043.23
1887,2016-03-02,1043.29
1888,2016-03-03,1043.31
1889,2016-03-04,1043.34
1890,2016-03-05,1043.38
1891,2016-03-06,1043.46
1892,2016-03-07,1043.49
1893,2016-03-08,1043.49
1894,2016-03-09,1043.48
1895,2016-03-10,1043.5
1896,2016-03-11,1043.48
1897,2016-03-12,1043.48
1898,2016-03-13,1043.52
1899,2016-03-14,1043.51
1900,2016-03-15,1043.47
1901,2016-03-16,1043.42
1902,2016-03-17,1043.38
1903,2016-03-18,1043.35
1904,2016-03-19,1043.33
1905,2016-03-20,1043.31
1906,2016-03-21,1043.3
1907,2016-03-22,1043.3
1908,2016-03-23,1043.28
1909,2016-03-24,1043.43
1910,2016-03-25,1043.58
1911,2016-03-26,1043.66
1912,2016-03-27,1043.7
1913,2016-03-28,1043.73
1914,2016-03-29,1043.83
1915,2016-03-30,1043.92
1916,2016-03-31,1044.05
1917,2016-04-01,1044.2
1918,2016-04-02,1044.37
1919,2016-04-03,1044.51
1920,2016-04-04,1044.68
1921,2016-04-05,1044.96
1922,2016-04-06,1045.22
1923,2016-04-07,1045.5
1924,2016-04-08,1045.87
1925,2016-04-09,1046.22
1926,2016-04-10,1046.43
1927,2016-04-11,1046.67
1928,2016-04-12,1046.75
