,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.tsv
1059,2015-11-26,45350
1060,2015-11-27,45710
1061,2015-11-28,46130
1062,2015-11-29,46510
1063,2015-11-30,46890
1064,2015-12-01,46820
1065,2015-12-02,46760
1066,2015-12-03,46520
1067,2015-12-04,45980
1068,2015-12-05,45460
1069,2015-12-06,44940
1070,2015-12-07,44410
1071,2015-12-08,43880
1072,2015-12-09,43360
1073,2015-12-10,42890
1074,2015-12-11,42440
1075,2015-12-12,41940
1076,2015-12-13,41510
1077,2015-12-14,41000
1078,2015-12-15,40480
1079,2015-12-16,39970
1080,2015-12-17,39450
1081,2015-12-18,38920
1082,2015-12-19,38430
1083,2015-12-20,37930
1084,2015-12-21,37650
1085,2015-12-22,38000
1086,2015-12-23,38260
1087,2015-12-24,38390
1088,2015-12-25,38410
1089,2015-12-26,38470
1090,2015-12-27,38470
1091,2015-12-28,38340
1092,2015-12-29,37890
1093,2015-12-30,37430
1094,2015-12-31,37580
1095,2016-01-01,37400
1096,2016-01-02,37090
1097,2016-01-03,36790
1098,2016-01-04,36500
1099,2016-01-05,36300
1100,2016-01-06,36060
1101,2016-01-07,35770
1102,2016-01-08,35510
1103,2016-01-09,35160
1104,2016-01-10,34860
1105,2016-01-11,34460
1106,2016-01-12,34150
1107,2016-01-13,33810
1108,2016-01-14,33540
1109,2016-01-15,33280
1110,2016-01-16,33080
1111,2016-01-17,32840
1112,2016-01-18,32670
1113,2016-01-19,32590
1114,2016-01-20,32470
1115,2016-01-21,32240
1116,2016-01-22,32070
1117,2016-01-23,32200
1118,2016-01-24,32130
1119,2016-01-25,31990
1120,2016-01-26,31750
1121,2016-01-27,31560
1122,2016-01-28,31290
1123,2016-01-29,30980
1124,2016-01-30,31760
1125,2016-01-31,32050
1126,2016-02-01,32060
1127,2016-02-02,32120
1128,2016-02-03,32170
1129,2016-02-04,32250
1130,2016-02-05,32190
1131,2016-02-06,32000
1132,2016-02-07,31840
1133,2016-02-08,31760
1134,2016-02-09,31710
1135,2016-02-10,31740
1136,2016-02-11,31800
1137,2016-02-12,31530
