,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.tsv
606,2014-08-30,610.0
607,2014-08-31,606.0
608,2014-09-01,602.0
609,2014-09-02,598.0
610,2014-09-03,594.0
611,2014-09-04,592.0
612,2014-09-05,588.0
613,2014-09-06,584.0
614,2014-09-07,581.0
615,2014-09-08,577.0
616,2014-09-09,573.0
617,2014-09-10,569.0
618,2014-09-11,561.0
619,2014-09-12,549.0
620,2014-09-13,537.0
621,2014-09-14,525.0
622,2014-09-15,513.0
623,2014-09-16,502.0
624,2014-09-17,490.0
625,2014-09-18,479.0
626,2014-09-19,468.0
627,2014-09-20,457.0
628,2014-09-21,446.0
629,2014-09-22,436.0
630,2014-09-23,426.0
631,2014-09-24,416.0
632,2014-09-25,412.0
633,2014-09-26,406.0
634,2014-09-27,397.0
635,2014-09-28,387.0
636,2014-09-29,378.0
637,2014-09-30,370.0
638,2014-10-01,359.0
639,2014-10-02,350.0
640,2014-10-03,342.0
641,2014-10-04,333.0
642,2014-10-05,324.0
643,2014-10-06,315.0
644,2014-10-07,307.0
645,2014-10-08,298.0
646,2014-10-09,290.0
647,2014-10-10,282.0
648,2014-10-11,274.0
649,2014-10-12,265.0
650,2014-10-13,259.0
651,2014-10-14,258.0
652,2014-10-15,260.0
653,2014-10-16,259.0
654,2014-10-17,258.0
655,2014-10-18,257.0
656,2014-10-19,256.0
657,2014-10-20,253.0
658,2014-10-21,251.0
659,2014-10-22,250.0
660,2014-10-23,257.0
661,2014-10-24,257.0
662,2014-10-25,268.0
663,2014-10-26,274.0
664,2014-10-27,274.0
665,2014-10-28,273.0
666,2014-10-29,273.0
667,2014-10-30,272.0
668,2014-10-31,280.0
669,2014-11-01,281.0
670,2014-11-02,281.0
671,2014-11-03,280.0
672,2014-11-04,279.0
673,2014-11-05,279.0
674,2014-11-06,278.0
675,2014-11-07,278.0
676,2014-11-08,278.0
677,2014-11-09,277.0
678,2014-11-10,277.0
679,2014-11-11,277.0
680,2014-11-12,276.0
681,2014-11-13,282.0
682,2014-11-14,284.0
683,2014-11-15,284.0
684,2014-11-16,284.0
685,2014-11-17,284.0
686,2014-11-18,283.0
687,2014-11-19,285.0
688,2014-11-20,288.0
689,2014-11-21,292.0
690,2014-11-22,305.0
691,2014-11-23,307.0
692,2014-11-24,307.0
693,2014-11-25,308.0
694,2014-11-26,308.0
695,2014-11-27,308.0
696,2014-11-28,312.0
697,2014-11-29,335.0
698,2014-11-30,347.0
699,2014-12-01,359.0
700,2014-12-02,365.0
701,2014-12-03,398.0
702,2014-12-04,413.0
703,2014-12-05,423.0
704,2014-12-06,437.0
705,2014-12-07,444.0
706,2014-12-08,448.0
707,2014-12-09,453.0
708,2014-12-10,465.0
709,2014-12-11,500.0
710,2014-12-12,510.0
711,2014-12-13,521.0
712,2014-12-14,532.0
713,2014-12-15,541.0
714,2014-12-16,549.0
715,2014-12-17,557.0
716,2014-12-18,565.0
717,2014-12-19,576.0
718,2014-12-20,602.0
719,2014-12-21,646.0
720,2014-12-22,667.0
721,2014-12-23,683.0
722,2014-12-24,702.0
723,2014-12-25,713.0
724,2014-12-26,720.0
725,2014-12-27,727.0
726,2014-12-28,726.0
727,2014-12-29,726.0
728,2014-12-30,726.0
729,2014-12-31,725.0
730,2015-01-01,724.0
731,2015-01-02,724.0
732,2015-01-03,724.0
733,2015-01-04,724.0
734,2015-01-05,724.0
735,2015-01-06,724.0
736,2015-01-07,724.0
737,2015-01-08,723.0
738,2015-01-09,722.0
739,2015-01-10,722.0
740,2015-01-11,721.0
741,2015-01-12,722.0
742,2015-01-13,717.0
743,2015-01-14,720.0
744,2015-01-15,720.0
745,2015-01-16,726.0
746,2015-01-17,727.0
747,2015-01-18,733.0
748,2015-01-19,733.0
749,2015-01-20,731.0
750,2015-01-21,728.0
751,2015-01-22,727.0
752,2015-01-23,729.0
753,2015-01-24,731.0
754,2015-01-25,732.0
755,2015-01-26,733.0
756,2015-01-27,733.0
757,2015-01-28,733.0
758,2015-01-29,733.0
759,2015-01-30,735.0
760,2015-01-31,734.0
761,2015-02-01,735.0
762,2015-02-02,743.0
763,2015-02-03,743.0
764,2015-02-04,743.0
765,2015-02-05,741.0
766,2015-02-06,743.0
767,2015-02-07,739.0
768,2015-02-08,738.0
769,2015-02-09,739.0
770,2015-02-10,734.0
771,2015-02-11,732.0
772,2015-02-12,731.0
773,2015-02-13,730.0
774,2015-02-14,730.0
775,2015-02-15,730.0
776,2015-02-16,730.0
777,2015-02-17,729.0
778,2015-02-18,729.0
779,2015-02-19,729.0
780,2015-02-20,729.0
781,2015-02-21,729.0
782,2015-02-22,727.0
