,datetime,LAKE_MERWIN_AT_ARIEL__WA.tsv
736,2015-01-07,378032.09
737,2015-01-08,374731.23
738,2015-01-09,371530.39
739,2015-01-10,376131.59
740,2015-01-11,375031.31
741,2015-01-12,375231.35
742,2015-01-13,374931.27
743,2015-01-14,374531.17
744,2015-01-15,375031.3
745,2015-01-16,373530.91
746,2015-01-17,374631.19
747,2015-01-18,376831.77
748,2015-01-19,378232.15
749,2015-01-20,381132.9
750,2015-01-21,380632.75
751,2015-01-22,378732.28
752,2015-01-23,377832.05
753,2015-01-24,376931.8
754,2015-01-25,375731.48
755,2015-01-26,374131.06
756,2015-01-27,372930.76
757,2015-01-28,372430.62
758,2015-01-29,371830.48
759,2015-01-30,371630.41
760,2015-01-31,371030.26
761,2015-02-01,370830.2
762,2015-02-02,371130.29
763,2015-02-03,366429.06
764,2015-02-04,359827.32
765,2015-02-05,359427.2
766,2015-02-06,357926.82
767,2015-02-07,356126.33
768,2015-02-08,359127.12
769,2015-02-09,360427.48
770,2015-02-10,364928.67
771,2015-02-11,371030.27
772,2015-02-12,374531.18
773,2015-02-13,376331.65
774,2015-02-14,373430.89
775,2015-02-15,373931.01
776,2015-02-16,369829.95
777,2015-02-17,366329.03
778,2015-02-18,363728.35
779,2015-02-19,361127.65
780,2015-02-20,361527.76
781,2015-02-21,361327.71
782,2015-02-22,362828.1
783,2015-02-23,365328.76
784,2015-02-24,366929.2
785,2015-02-25,369029.74
786,2015-02-26,371130.29
787,2015-02-27,375131.34
788,2015-02-28,376431.66
789,2015-03-01,378132.11
790,2015-03-02,380432.71
791,2015-03-03,385734.09
792,2015-03-04,389635.08
793,2015-03-05,392935.94
794,2015-03-06,395136.49
795,2015-03-07,396236.77
796,2015-03-08,396936.96
797,2015-03-09,397036.98
798,2015-03-10,396936.96
799,2015-03-11,396836.93
800,2015-03-12,395536.61
801,2015-03-13,394036.21
802,2015-03-14,394036.22
803,2015-03-15,396236.77
804,2015-03-16,400937.97
805,2015-03-17,402138.29
806,2015-03-18,401538.14
807,2015-03-19,399837.7
808,2015-03-20,400537.87
809,2015-03-21,399937.72
810,2015-03-22,398837.45
811,2015-03-23,400637.9
812,2015-03-24,399337.56
813,2015-03-25,399637.64
814,2015-03-26,400937.97
815,2015-03-27,401538.12
816,2015-03-28,394936.45
817,2015-03-29,390335.27
818,2015-03-30,383533.52
819,2015-03-31,377531.96
820,2015-04-01,374431.15
821,2015-04-02,371930.49
822,2015-04-03,375071.304
823,2015-04-04,378212.118
824,2015-04-05,381352.932
825,2015-04-06,384493.746
826,2015-04-07,387634.56
827,2015-04-08,389735.11
828,2015-04-09,391435.56
829,2015-04-10,394336.3
830,2015-04-11,394336.3
831,2015-04-12,396836.92
832,2015-04-13,399737.68
833,2015-04-14,400237.81
834,2015-04-15,396336.8
835,2015-04-16,396836.93
836,2015-04-17,396736.91
837,2015-04-18,392635.85
838,2015-04-19,388634.83
839,2015-04-20,388934.91
840,2015-04-21,389034.93
841,2015-04-22,389335.01
