,datetime,WILLOW_CREEK_LAKE_AT_HEPPNER__OR.
938,2013-07-27,2071.58
939,2013-07-28,2071.32
940,2013-07-29,2071.1
941,2013-07-30,2070.94
942,2013-07-31,2070.78
943,2013-08-01,2070.62
944,2013-08-02,2070.47
945,2013-08-03,2070.32
946,2013-08-04,2070.17
947,2013-08-05,2070.0
948,2013-08-06,2069.8
949,2013-08-07,2069.6
950,2013-08-08,2069.4
951,2013-08-09,2069.16
952,2013-08-10,2068.95
953,2013-08-11,2068.75
954,2013-08-12,2068.55
955,2013-08-13,2068.35
956,2013-08-14,2068.14
957,2013-08-15,2067.93
958,2013-08-16,2067.75
959,2013-08-17,2067.57
960,2013-08-18,2067.38
961,2013-08-19,2067.18
962,2013-08-20,2066.97
963,2013-08-21,2066.77
964,2013-08-22,2066.56
965,2013-08-23,2066.32
966,2013-08-24,2066.08
967,2013-08-25,2065.88
968,2013-08-26,2065.66
969,2013-08-27,2065.44
970,2013-08-28,2065.25
971,2013-08-29,2065.06
972,2013-08-30,2064.88
973,2013-08-31,2064.7
974,2013-09-01,2064.52
975,2013-09-02,2064.35
976,2013-09-03,2064.11
977,2013-09-04,2063.88
978,2013-09-05,2063.67
979,2013-09-06,2063.45
980,2013-09-07,2063.23
981,2013-09-08,2063.0
982,2013-09-09,2062.76
983,2013-09-10,2062.52
984,2013-09-11,2062.31
985,2013-09-12,2062.11
