,datetime,BLUE_RIVER_LAKE_NEAR_BLUE_RIVER__OR.tsv
579,2015-05-02,1308.22
580,2015-05-03,1308.28
581,2015-05-04,1308.32
582,2015-05-05,1308.34
583,2015-05-06,1308.36
584,2015-05-07,1308.36
585,2015-05-08,1308.35
586,2015-05-09,1308.32
587,2015-05-10,1308.27
588,2015-05-11,1308.24
589,2015-05-12,1308.27
590,2015-05-13,1308.28
591,2015-05-14,1308.27
592,2015-05-15,1308.23
593,2015-05-16,1308.2
594,2015-05-17,1308.15
595,2015-05-18,1308.15
596,2015-05-19,1308.15
597,2015-05-20,1308.13
598,2015-05-21,1308.15
599,2015-05-22,1308.18
600,2015-05-23,1308.18
601,2015-05-24,1308.16
602,2015-05-25,1308.12
603,2015-05-26,1308.06
604,2015-05-27,1307.99
605,2015-05-28,1307.91
606,2015-05-29,1307.82
607,2015-05-30,1307.72
608,2015-05-31,1307.61
609,2015-06-01,1307.53
610,2015-06-02,1307.45
611,2015-06-03,1307.36
612,2015-06-04,1307.24
613,2015-06-05,1307.11
614,2015-06-06,1306.98
615,2015-06-07,1306.83
616,2015-06-08,1306.69
617,2015-06-09,1306.54
618,2015-06-10,1306.23
619,2015-06-11,1305.76
620,2015-06-12,1305.29
621,2015-06-13,1304.8
622,2015-06-14,1304.31
623,2015-06-15,1303.8
624,2015-06-16,1303.31
625,2015-06-17,1302.81
626,2015-06-18,1302.29
627,2015-06-19,1301.79
628,2015-06-20,1301.27
629,2015-06-21,1300.74
630,2015-06-22,1300.21
631,2015-06-23,1299.68
632,2015-06-24,1299.15
633,2015-06-25,1298.61
634,2015-06-26,1298.09
635,2015-06-27,1297.54
636,2015-06-28,1297.0
637,2015-06-29,1296.46
638,2015-06-30,1295.9
639,2015-07-01,1295.34
640,2015-07-02,1294.77
641,2015-07-03,1294.19
642,2015-07-04,1293.61
643,2015-07-05,1293.02
644,2015-07-06,1292.42
645,2015-07-07,1291.82
646,2015-07-08,1291.23
647,2015-07-09,1290.63
648,2015-07-10,1290.05
649,2015-07-11,1289.46
650,2015-07-12,1288.84
651,2015-07-13,1288.23
652,2015-07-14,1287.62
653,2015-07-15,1286.98
654,2015-07-16,1286.34
655,2015-07-17,1285.69
656,2015-07-18,1285.04
657,2015-07-19,1284.39
658,2015-07-20,1283.72
659,2015-07-21,1283.05
660,2015-07-22,1282.38
661,2015-07-23,1281.7
662,2015-07-24,1281.02
663,2015-07-25,1280.34
664,2015-07-26,1279.66
665,2015-07-27,1278.97
666,2015-07-28,1278.28
667,2015-07-29,1277.58
668,2015-07-30,1276.86
669,2015-07-31,1276.15
670,2015-08-01,1275.43
671,2015-08-02,1274.69
672,2015-08-03,1273.98
673,2015-08-04,1273.25
674,2015-08-05,1272.52
675,2015-08-06,1271.77
676,2015-08-07,1271.0
677,2015-08-08,1270.25
678,2015-08-09,1269.49
679,2015-08-10,1268.73
680,2015-08-11,1267.91
681,2015-08-12,1267.07
682,2015-08-13,1266.22
683,2015-08-14,1265.38
684,2015-08-15,1264.53
685,2015-08-16,1263.67
686,2015-08-17,1262.81
687,2015-08-18,1261.93
688,2015-08-19,1261.06
689,2015-08-20,1260.18
