,datetime,LAKE_BRYAN_FOREBAY_AT_LITTLE_GOOSE_DAM__WA.tsv
810,2015-06-07,388.5
811,2015-06-08,383.6
812,2015-06-09,381.5
813,2015-06-10,382.4
814,2015-06-11,383.8
815,2015-06-12,385.3
816,2015-06-13,384.8
817,2015-06-14,384.4
818,2015-06-15,384.6
819,2015-06-16,384.8
820,2015-06-17,383.7
821,2015-06-18,390.8
822,2015-06-19,389.1
823,2015-06-20,389.6
824,2015-06-21,388.0
825,2015-06-22,385.6
826,2015-06-23,382.8
827,2015-06-24,384.5
828,2015-06-25,386.6
829,2015-06-26,386.4
830,2015-06-27,388.1
831,2015-06-28,389.0
832,2015-06-29,388.4
833,2015-06-30,393.1
834,2015-07-01,398.0
835,2015-07-02,399.1
836,2015-07-03,396.3
837,2015-07-04,396.3
838,2015-07-05,395.1
839,2015-07-06,400.7
840,2015-07-07,394.4
841,2015-07-08,397.3
842,2015-07-09,396.6
843,2015-07-10,395.5
844,2015-07-11,392.5
845,2015-07-12,391.1
846,2015-07-13,390.8
847,2015-07-14,390.3
848,2015-07-15,382.7
849,2015-07-16,382.0
850,2015-07-17,381.6
851,2015-07-18,381.5
852,2015-07-19,373.7
853,2015-07-20,367.3
854,2015-07-21,374.8
855,2015-07-22,375.6
856,2015-07-23,379.2
857,2015-07-24,374.5
858,2015-07-25,371.3
859,2015-07-26,369.7
860,2015-07-27,370.7
861,2015-07-28,369.5
862,2015-07-29,366.8
863,2015-07-30,364.6
864,2015-07-31,364.6
865,2015-08-01,364.6
866,2015-08-02,366.9
867,2015-08-03,370.7
868,2015-08-04,371.2
869,2015-08-05,369.0
870,2015-08-06,371.7
871,2015-08-07,377.4
872,2015-08-08,374.7
873,2015-08-09,372.2
874,2015-08-10,372.1
875,2015-08-11,373.2
876,2015-08-12,374.5
877,2015-08-13,372.4
878,2015-08-14,372.5
879,2015-08-15,366.5
880,2015-08-16,370.5
881,2015-08-17,376.0
882,2015-08-18,373.7
883,2015-08-19,370.5
884,2015-08-20,369.9
885,2015-08-21,365.1
886,2015-08-22,367.1
887,2015-08-23,371.2
888,2015-08-24,373.4
889,2015-08-25,368.2
890,2015-08-26,360.4
891,2015-08-27,354.7
892,2015-08-28,356.6
893,2015-08-29,368.5
894,2015-08-30,357.3
895,2015-08-31,358.0
896,2015-09-01,362.4
897,2015-09-02,361.4
898,2015-09-03,358.0
899,2015-09-04,357.7
900,2015-09-05,354.9
901,2015-09-06,353.3
902,2015-09-07,352.0
903,2015-09-08,348.3
904,2015-09-09,341.0
905,2015-09-10,338.7
906,2015-09-11,338.8
907,2015-09-12,341.8
908,2015-09-13,343.2
909,2015-09-14,344.9
910,2015-09-15,346.1
911,2015-09-16,344.0
912,2015-09-17,348.5
913,2015-09-18,345.2
914,2015-09-19,340.3
915,2015-09-20,341.2
916,2015-09-21,341.07909604519773
917,2015-09-22,340.95819209039547
918,2015-09-23,340.8372881355932
919,2015-09-24,340.716384180791
920,2015-09-25,340.5954802259887
921,2015-09-26,340.47457627118644
922,2015-09-27,340.3536723163841
923,2015-09-28,340.2327683615819
924,2015-09-29,340.11186440677966
925,2015-09-30,339.9909604519774
926,2015-10-01,339.87005649717514
927,2015-10-02,339.7491525423729
928,2015-10-03,339.6282485875706
929,2015-10-04,339.50734463276837
930,2015-10-05,339.3864406779661
931,2015-10-06,339.26553672316385
932,2015-10-07,339.1446327683616
933,2015-10-08,339.02372881355933
934,2015-10-09,338.90282485875707
935,2015-10-10,338.78192090395476
936,2015-10-11,338.66101694915255
937,2015-10-12,338.54011299435024
938,2015-10-13,338.41920903954804
