,datetime,FRANKLIN_ROOSEVELT_LAKE_AT_GRAND_COULEE_DAM__WA.tsv
787,2015-02-27,1265.4
788,2015-02-28,1264.82
789,2015-03-01,1264.74
790,2015-03-02,1264.26
791,2015-03-03,1263.31
792,2015-03-04,1262.18
793,2015-03-05,1261.1
794,2015-03-06,1260.01
795,2015-03-07,1258.98
796,2015-03-08,1257.9
797,2015-03-09,1257.18
798,2015-03-10,1256.69
799,2015-03-11,1255.89
800,2015-03-12,1255.04
801,2015-03-13,1254.21
802,2015-03-14,1253.85
803,2015-03-15,1253.41
804,2015-03-16,1253.4
805,2015-03-17,1253.43
806,2015-03-18,1253.83
807,2015-03-19,1253.71
808,2015-03-20,1252.94
809,2015-03-21,1252.4
810,2015-03-22,1252.23
811,2015-03-23,1252.41
812,2015-03-24,1252.78
813,2015-03-25,1253.19
814,2015-03-26,1253.18
815,2015-03-27,1253.22
816,2015-03-28,1253.25
817,2015-03-29,1252.94
818,2015-03-30,1253.53
819,2015-03-31,1254.02
820,2015-04-01,1254.26
821,2015-04-02,1254.09
822,2015-04-03,1254.16
823,2015-04-04,1253.78
824,2015-04-05,1253.31
825,2015-04-06,1252.98
826,2015-04-07,1253.31
827,2015-04-08,1253.33
828,2015-04-09,1253.16
829,2015-04-10,1253.35
830,2015-04-11,1253.2
831,2015-04-12,1252.77
832,2015-04-13,1252.46
833,2015-04-14,1252.71
834,2015-04-15,1252.48
835,2015-04-16,1252.12
836,2015-04-17,1251.92
837,2015-04-18,1251.66
838,2015-04-19,1251.71
839,2015-04-20,1251.33
840,2015-04-21,1251.33
841,2015-04-22,1251.47
842,2015-04-23,1251.35
843,2015-04-24,1251.22
844,2015-04-25,1251.65
845,2015-04-26,1252.11
846,2015-04-27,1252.06
847,2015-04-28,1252.01
848,2015-04-29,1251.83
849,2015-04-30,1251.51
850,2015-05-01,1250.77
851,2015-05-02,1249.93
852,2015-05-03,1249.53
853,2015-05-04,1249.17
854,2015-05-05,1249.29
855,2015-05-06,1249.81
856,2015-05-07,1249.7
857,2015-05-08,1249.91
858,2015-05-09,1250.18
859,2015-05-10,1250.29
860,2015-05-11,1250.13
861,2015-05-12,1249.42
862,2015-05-13,1248.85
863,2015-05-14,1248.47
864,2015-05-15,1248.39
865,2015-05-16,1248.57
866,2015-05-17,1248.43
867,2015-05-18,1248.72
868,2015-05-19,1248.91
869,2015-05-20,1248.73
870,2015-05-21,1248.47
871,2015-05-22,1248.45
872,2015-05-23,1248.34
873,2015-05-24,1248.32
874,2015-05-25,1248.69
875,2015-05-26,1248.93
876,2015-05-27,1249.32
877,2015-05-28,1249.62
878,2015-05-29,1250.53
879,2015-05-30,1251.46
880,2015-05-31,1252.15
881,2015-06-01,1253.78
882,2015-06-02,1255.78
883,2015-06-03,1258.14
884,2015-06-04,1259.98
885,2015-06-05,1261.26
886,2015-06-06,1262.61
887,2015-06-07,1263.84
888,2015-06-08,1264.88
889,2015-06-09,1266.14
890,2015-06-10,1267.33
891,2015-06-11,1268.4
892,2015-06-12,1269.41
893,2015-06-13,1270.34
894,2015-06-14,1271.4
895,2015-06-15,1271.95
896,2015-06-16,1273.13
897,2015-06-17,1274.26
898,2015-06-18,1275.31
899,2015-06-19,1276.56
900,2015-06-20,1277.7
901,2015-06-21,1279.04
902,2015-06-22,1280.03
903,2015-06-23,1281.07
904,2015-06-24,1282.07
905,2015-06-25,1282.5
906,2015-06-26,1282.6
907,2015-06-27,1282.94
908,2015-06-28,1283.2
909,2015-06-29,1283.65
910,2015-06-30,1283.84
911,2015-07-01,1284.24
912,2015-07-02,1284.79
913,2015-07-03,1285.18
914,2015-07-04,1285.49
915,2015-07-05,1285.65
916,2015-07-06,1286.4
917,2015-07-07,1287.05
918,2015-07-08,1287.19
919,2015-07-09,1287.58
920,2015-07-10,1288.32
921,2015-07-11,1289.1
922,2015-07-12,1289.4
923,2015-07-13,1289.62
