,datetime,LEMOLO_LAKE_NEAR_TOKETEE_FALLS__OR.tsv
730,2015-01-01,4134.38
731,2015-01-02,4134.18
732,2015-01-03,4133.92
733,2015-01-04,4133.53
734,2015-01-05,4133.08
735,2015-01-06,4132.81
736,2015-01-07,4132.41
737,2015-01-08,4131.96
738,2015-01-09,4131.52
739,2015-01-10,4131.07
740,2015-01-11,4130.7
741,2015-01-12,4130.31
742,2015-01-13,4129.8
743,2015-01-14,4129.33
744,2015-01-15,4128.87
745,2015-01-16,4128.57
746,2015-01-17,4128.43
747,2015-01-18,4128.71
748,2015-01-19,4128.67
749,2015-01-20,4128.45
750,2015-01-21,4128.18
751,2015-01-22,4127.91
752,2015-01-23,4127.45
753,2015-01-24,4126.99
754,2015-01-25,4126.49
755,2015-01-26,4126.02
756,2015-01-27,4125.85
757,2015-01-28,4125.68
758,2015-01-29,4125.43
759,2015-01-30,4125.15
760,2015-01-31,4124.9
761,2015-02-01,4124.74
762,2015-02-02,4125.0
763,2015-02-03,4125.82
764,2015-02-04,4126.27
765,2015-02-05,4125.89
766,2015-02-06,4125.86
767,2015-02-07,4125.91
768,2015-02-08,4125.9
769,2015-02-09,4125.88
770,2015-02-10,4125.77
771,2015-02-11,4125.56
772,2015-02-12,4125.3
773,2015-02-13,4125.26
774,2015-02-14,4125.1
775,2015-02-15,4125.05
776,2015-02-16,4125.15
777,2015-02-17,4125.03
778,2015-02-18,4125.02
779,2015-02-19,4124.96
780,2015-02-20,4124.95
781,2015-02-21,4124.95
782,2015-02-22,4124.8
783,2015-02-23,4124.86
784,2015-02-24,4124.81
785,2015-02-25,4124.92
786,2015-02-26,4125.04
787,2015-02-27,4125.02
788,2015-02-28,4124.94
789,2015-03-01,4124.9
790,2015-03-02,4124.77
791,2015-03-03,4124.97
792,2015-03-04,4125.29
793,2015-03-05,4125.59
794,2015-03-06,4126.13
795,2015-03-07,4126.55
796,2015-03-08,4126.99
797,2015-03-09,4127.37
798,2015-03-10,4127.83
799,2015-03-11,4128.33
800,2015-03-12,4128.72
801,2015-03-13,4129.08
802,2015-03-14,4129.61
803,2015-03-15,4130.33
804,2015-03-16,4130.9
805,2015-03-17,4131.44
806,2015-03-18,4131.78
807,2015-03-19,4132.04
808,2015-03-20,4132.26
809,2015-03-21,4132.56
810,2015-03-22,4132.92
811,2015-03-23,4133.3
812,2015-03-24,4133.74
813,2015-03-25,4134.18
814,2015-03-26,4134.57
815,2015-03-27,4134.88
816,2015-03-28,4135.01
817,2015-03-29,4135.11
818,2015-03-30,4135.23
819,2015-03-31,4135.41
820,2015-04-01,4135.53
821,2015-04-02,4135.57
822,2015-04-03,4135.5
823,2015-04-04,4135.5
824,2015-04-05,4135.74
825,2015-04-06,4135.69
826,2015-04-07,4135.65
827,2015-04-08,4135.58
828,2015-04-09,4135.6
829,2015-04-10,4135.73
830,2015-04-11,4136.07
831,2015-04-12,4136.37
832,2015-04-13,4136.66
833,2015-04-14,4137.0
834,2015-04-15,4137.39
835,2015-04-16,4137.7
836,2015-04-17,4138.03
837,2015-04-18,4138.34
838,2015-04-19,4138.66
839,2015-04-20,4139.05
840,2015-04-21,4139.38
841,2015-04-22,4139.62
842,2015-04-23,4140.14
843,2015-04-24,4140.45
844,2015-04-25,4140.72
845,2015-04-26,4141.07
846,2015-04-27,4141.31
847,2015-04-28,4141.55
848,2015-04-29,4141.86
849,2015-04-30,4142.13
850,2015-05-01,4142.37
851,2015-05-02,4142.62
852,2015-05-03,4142.94
853,2015-05-04,4143.22
854,2015-05-05,4143.48
855,2015-05-06,4143.82
856,2015-05-07,4144.15
857,2015-05-08,4144.49
858,2015-05-09,4144.78
859,2015-05-10,4145.07
860,2015-05-11,4145.45
861,2015-05-12,4145.8
862,2015-05-13,4146.05
863,2015-05-14,4146.41
864,2015-05-15,4146.73
865,2015-05-16,4147.07
866,2015-05-17,4147.3
867,2015-05-18,4147.6
868,2015-05-19,4147.88
869,2015-05-20,4147.9
870,2015-05-21,4147.89
871,2015-05-22,4148.03
872,2015-05-23,4148.11
873,2015-05-24,4148.15
874,2015-05-25,4148.16
875,2015-05-26,4148.18
876,2015-05-27,4148.2
877,2015-05-28,4148.22
878,2015-05-29,4148.24
879,2015-05-30,4148.22
880,2015-05-31,4148.22
881,2015-06-01,4148.26
882,2015-06-02,4148.26
883,2015-06-03,4148.21
884,2015-06-04,4148.21
885,2015-06-05,4148.21
886,2015-06-06,4148.19
887,2015-06-07,4148.16
888,2015-06-08,4148.12
889,2015-06-09,4148.09
890,2015-06-10,4148.03
891,2015-06-11,4147.97
892,2015-06-12,4147.88
893,2015-06-13,4147.88
894,2015-06-14,4147.82
895,2015-06-15,4147.8
896,2015-06-16,4147.77
897,2015-06-17,4147.73
898,2015-06-18,4147.73
899,2015-06-19,4147.64
900,2015-06-20,4147.64
901,2015-06-21,4147.6
902,2015-06-22,4147.59
903,2015-06-23,4147.63
904,2015-06-24,4147.67
905,2015-06-25,4147.69
906,2015-06-26,4147.7
907,2015-06-27,4147.76
908,2015-06-28,4147.78
909,2015-06-29,4147.85
910,2015-06-30,4147.86
911,2015-07-01,4147.89
912,2015-07-02,4147.9
913,2015-07-03,4147.84
914,2015-07-04,4147.8
915,2015-07-05,4147.77
916,2015-07-06,4147.76
917,2015-07-07,4147.81
918,2015-07-08,4147.82
919,2015-07-09,4147.83
920,2015-07-10,4147.92
921,2015-07-11,4147.94
922,2015-07-12,4147.86
923,2015-07-13,4147.9
924,2015-07-14,4147.84
925,2015-07-15,4147.85
926,2015-07-16,4147.82
927,2015-07-17,4147.7
928,2015-07-18,4147.7
929,2015-07-19,4147.73
930,2015-07-20,4147.67
931,2015-07-21,4147.77
932,2015-07-22,4147.71
933,2015-07-23,4147.77
934,2015-07-24,4147.7
935,2015-07-25,4147.75
936,2015-07-26,4147.64
937,2015-07-27,4147.7
938,2015-07-28,4147.6
939,2015-07-29,4147.64
940,2015-07-30,4147.65
941,2015-07-31,4147.55
942,2015-08-01,4147.56
943,2015-08-02,4147.6
944,2015-08-03,4147.5
945,2015-08-04,4147.54
946,2015-08-05,4147.49
947,2015-08-06,4147.5
948,2015-08-07,4147.42
949,2015-08-08,4147.35
950,2015-08-09,4147.38
951,2015-08-10,4147.31
952,2015-08-11,4147.3
953,2015-08-12,4147.29
954,2015-08-13,4147.23
955,2015-08-14,4147.22
956,2015-08-15,4147.27
957,2015-08-16,4147.2
958,2015-08-17,4147.25
959,2015-08-18,4147.14
960,2015-08-19,4147.19
961,2015-08-20,4147.09
962,2015-08-21,4147.14
963,2015-08-22,4147.06
964,2015-08-23,4147.14
965,2015-08-24,4147.07
966,2015-08-25,4146.99
967,2015-08-26,4147.05
968,2015-08-27,4146.95
969,2015-08-28,4146.97
970,2015-08-29,4146.95
971,2015-08-30,4147.02
972,2015-08-31,4146.88
973,2015-09-01,4146.72
974,2015-09-02,4146.43
975,2015-09-03,4146.0
976,2015-09-04,4145.72
977,2015-09-05,4145.37
978,2015-09-06,4145.04
979,2015-09-07,4144.76
980,2015-09-08,4144.44
981,2015-09-09,4144.12
982,2015-09-10,4143.76
