,datetime,149696_62614_00003,149697_00010_00001,149698_00010_00002,149699_00010_00003
507,2014-05-23,912.88,20.1,16.5,18.5
508,2014-05-24,912.96,21.2,18.0,19.2
509,2014-05-25,913.08,19.6,17.9,18.7
510,2014-05-26,913.11,18.3,16.8,17.5
511,2014-05-27,913.04,19.2,16.1,17.3
512,2014-05-28,912.92,17.9,16.8,17.3
513,2014-05-29,912.81,17.9,16.4,17.0
514,2014-05-30,912.74,19.1,16.8,17.5
515,2014-05-31,912.65,19.3,16.8,18.0
516,2014-06-01,912.55,20.2,17.9,18.5
517,2014-06-02,912.45,21.7,18.0,19.5
518,2014-06-03,912.3,20.5,18.6,19.4
519,2014-06-04,912.1,22.8,18.3,19.7
520,2014-06-05,911.98,20.5,18.7,19.4
521,2014-06-06,911.96,21.2,18.2,19.3
522,2014-06-07,911.93,22.7,18.7,20.0
523,2014-06-08,911.96,23.2,19.3,20.7
524,2014-06-09,912.01,22.8,20.1,21.2
525,2014-06-10,912.0,21.4,20.1,20.6
526,2014-06-11,911.92,21.8,19.5,20.3
527,2014-06-12,911.86,22.7,18.3,20.6
528,2014-06-13,911.86,21.0,20.1,20.5
529,2014-06-14,911.9,22.0,19.6,20.6
530,2014-06-15,911.79,20.8,19.8,20.2
531,2014-06-16,911.7,20.5,19.1,19.6
532,2014-06-17,911.7,20.9,18.6,19.7
533,2014-06-18,911.69,19.8,19.0,19.4
534,2014-06-19,911.71,22.3,18.9,20.4
535,2014-06-20,911.71,22.2,20.1,21.0
536,2014-06-21,911.66,22.5,18.6,20.6
537,2014-06-22,911.64,24.5,19.9,21.2
538,2014-06-23,911.65,24.0,20.7,21.8
539,2014-06-24,911.67,22.6,20.9,21.6
540,2014-06-25,911.69,23.9,20.8,21.7
541,2014-06-26,911.71,23.8,21.1,22.0
542,2014-06-27,911.76,22.8,21.5,22.0
543,2014-06-28,911.81,24.2,21.1,22.3
544,2014-06-29,911.73,23.4,21.7,22.5
545,2014-06-30,911.66,24.9,21.3,23.0
546,2014-07-01,911.66,24.9,22.6,23.4
547,2014-07-02,911.66,24.2,22.4,23.4
548,2014-07-03,911.68,25.3,23.1,24.0
549,2014-07-04,911.66,24.9,22.3,23.7
550,2014-07-05,911.63,25.4,23.0,23.9
