,datetime,150401_62614_32400,150402_00054_32400,150402_00054_32400_cd
616,2014-09-09,231.69,364300.0,
617,2014-09-10,231.42,364300.0,
618,2014-09-11,231.15,364300.0,
619,2014-09-12,231.19,364300.0,
620,2014-09-13,231.34,364300.0,
621,2014-09-14,231.52,364300.0,
622,2014-09-15,231.45,364300.0,
623,2014-09-16,231.46,364300.0,
624,2014-09-17,231.23,364300.0,
625,2014-09-18,231.05,364300.0,
626,2014-09-19,231.07,364300.0,
627,2014-09-20,230.76,364300.0,
628,2014-09-21,230.41,364300.0,
629,2014-09-22,230.17,364300.0,
630,2014-09-23,229.91,364300.0,
631,2014-09-24,229.78,364300.0,
632,2014-09-25,229.51,364300.0,
633,2014-09-26,229.29,364300.0,
634,2014-09-27,229.03,364300.0,
635,2014-09-28,228.88,364300.0,
636,2014-09-29,228.71,364300.0,
637,2014-09-30,228.84,364300.0,
638,2014-10-01,228.56,364300.0,A
639,2014-10-02,228.87,365500.0,A
640,2014-10-03,229.08,366300.0,A
641,2014-10-04,229.3,367100.0,A
642,2014-10-05,229.48,367800.0,A
643,2014-10-06,229.43,367600.0,A
644,2014-10-07,229.53,368000.0,A
645,2014-10-08,229.6,368300.0,A
646,2014-10-09,229.52,368000.0,A
647,2014-10-10,229.5,367900.0,A
648,2014-10-11,229.67,368500.0,A
649,2014-10-12,230.01,369800.0,A
650,2014-10-13,229.62,368300.0,A
651,2014-10-14,229.81,369100.0,A
652,2014-10-15,230.18,370500.0,A
653,2014-10-16,229.89,369400.0,A
654,2014-10-17,229.69,368600.0,A
655,2014-10-18,229.03,366100.0,A
656,2014-10-19,228.84,365400.0,A
657,2014-10-20,228.94,365800.0,A
658,2014-10-21,229.13,366500.0,A
659,2014-10-22,230.04,369900.0,A
660,2014-10-23,231.1,374000.0,A
661,2014-10-24,230.45,371500.0,A
662,2014-10-25,229.87,369300.0,A
663,2014-10-26,228.6,364500.0,A
664,2014-10-27,228.23,363100.0,A
665,2014-10-28,228.53,364200.0,A
666,2014-10-29,229.25,366900.0,A
667,2014-10-30,229.45,367700.0,A
668,2014-10-31,229.04,366100.0,A
669,2014-11-01,228.23,363100.0,A
670,2014-11-02,228.29,363300.0,A
671,2014-11-03,228.19,362900.0,A
672,2014-11-04,227.16,359000.0,A
673,2014-11-05,228.65,364700.0,A
674,2014-11-06,229.03,366100.0,A
675,2014-11-07,229.23,366900.0,A
676,2014-11-08,229.49,367900.0,A
677,2014-11-09,229.74,368800.0,A
678,2014-11-10,229.96,369600.0,A
679,2014-11-11,228.26,363200.0,A
680,2014-11-12,227.94,362000.0,A
681,2014-11-13,228.25,363100.0,A
682,2014-11-14,228.3,363300.0,A
683,2014-11-15,227.99,362200.0,A
684,2014-11-16,227.8,361400.0,A
685,2014-11-17,228.32,363400.0,A
686,2014-11-18,227.81,361500.0,A
687,2014-11-19,228.72,364900.0,A
688,2014-11-20,227.71,361100.0,A
689,2014-11-21,226.24,355500.0,A
690,2014-11-22,225.32,352100.0,A
691,2014-11-23,224.3,348300.0,A
692,2014-11-24,223.71,346100.0,A
693,2014-11-25,225.95,354500.0,A
694,2014-11-26,229.43,367600.0,A
695,2014-11-27,228.8,365200.0,A
696,2014-11-28,229.31,367200.0,A
697,2014-11-29,229.29,367100.0,A
698,2014-11-30,229.19,366700.0,A
699,2014-12-01,229.48,367800.0,A
700,2014-12-02,228.77,365100.0,A
701,2014-12-03,228.74,365000.0,A
702,2014-12-04,227.99,362200.0,A
703,2014-12-05,227.33,359700.0,A
704,2014-12-06,226.97,358300.0,A
705,2014-12-07,226.63,357000.0,A
706,2014-12-08,226.19,355400.0,A
707,2014-12-09,225.73,353600.0,A
708,2014-12-10,225.9,354300.0,A
709,2014-12-11,226.24,355500.0,A
710,2014-12-12,225.56,353000.0,A
711,2014-12-13,224.56,349200.0,A
712,2014-12-14,224.23,348000.0,A
713,2014-12-15,223.97,347000.0,A
714,2014-12-16,224.12,347600.0,A
715,2014-12-17,225.92,354300.0,A
716,2014-12-18,226.34,355900.0,A
717,2014-12-19,225.65,353300.0,A
718,2014-12-20,225.98,354600.0,A
719,2014-12-21,227.12,358900.0,A
720,2014-12-22,227.38,359800.0,A
721,2014-12-23,227.63,360800.0,A
722,2014-12-24,228.18,362900.0,A
723,2014-12-25,228.66,364700.0,A
724,2014-12-26,229.06,366200.0,A
725,2014-12-27,229.4,367500.0,A
726,2014-12-28,230.68,372400.0,A
727,2014-12-29,231.83,376800.0,A
728,2014-12-30,231.28,374700.0,A
729,2014-12-31,230.92,373300.0,A
730,2015-01-01,230.4,371300.0,A
731,2015-01-02,230.45,371500.0,A
732,2015-01-03,230.15,370400.0,A
733,2015-01-04,230.75,372700.0,A
734,2015-01-05,232.71,380200.0,A
735,2015-01-06,232.75,380400.0,A
736,2015-01-07,232.09,377800.0,A
737,2015-01-08,231.23,374500.0,A
738,2015-01-09,230.39,371300.0,A
739,2015-01-10,231.59,375900.0,A
740,2015-01-11,231.31,374800.0,A
741,2015-01-12,231.35,375000.0,A
742,2015-01-13,231.27,374700.0,A
743,2015-01-14,231.17,374300.0,A
744,2015-01-15,231.3,374800.0,A
745,2015-01-16,230.91,373300.0,A
746,2015-01-17,231.19,374400.0,A
747,2015-01-18,231.77,376600.0,A
748,2015-01-19,232.15,378000.0,A
749,2015-01-20,232.9,380900.0,A
750,2015-01-21,232.75,380400.0,A
751,2015-01-22,232.28,378500.0,A
752,2015-01-23,232.05,377600.0,A
753,2015-01-24,231.8,376700.0,A
754,2015-01-25,231.48,375500.0,A
755,2015-01-26,231.06,373900.0,A
756,2015-01-27,230.76,372700.0,A
757,2015-01-28,230.62,372200.0,A
758,2015-01-29,230.48,371600.0,A
759,2015-01-30,230.41,371400.0,A
760,2015-01-31,230.26,370800.0,A
761,2015-02-01,230.2,370600.0,A
762,2015-02-02,230.29,370900.0,A
763,2015-02-03,229.06,366200.0,A
