,datetime,LAKE_SABRINA_NR_BISHOP_CA.
843,2013-04-23,0.0
844,2013-04-24,0.0
845,2013-04-25,0.0
846,2013-04-26,0.0
847,2013-04-27,0.0
848,2013-04-28,0.0
849,2013-04-29,0.0
850,2013-04-30,0.0
851,2013-05-01,0.0
852,2013-05-02,0.0
853,2013-05-03,0.0
854,2013-05-04,0.0
855,2013-05-05,0.0
856,2013-05-06,0.0
857,2013-05-07,0.0
858,2013-05-08,0.0
859,2013-05-09,0.0
860,2013-05-10,0.0
861,2013-05-11,0.0
862,2013-05-12,0.0
863,2013-05-13,0.0
864,2013-05-14,0.0
865,2013-05-15,0.0
866,2013-05-16,0.0
867,2013-05-17,0.0
868,2013-05-18,0.0
869,2013-05-19,0.0
870,2013-05-20,0.0
871,2013-05-21,0.0
872,2013-05-22,0.0
873,2013-05-23,0.0
874,2013-05-24,0.0
875,2013-05-25,0.0
876,2013-05-26,0.0
877,2013-05-27,0.0
878,2013-05-28,0.0
879,2013-05-29,34.0
880,2013-05-30,101.0
881,2013-05-31,117.0
882,2013-06-01,134.0
883,2013-06-02,159.0
884,2013-06-03,196.0
885,2013-06-04,239.0
886,2013-06-05,286.0
887,2013-06-06,338.0
888,2013-06-07,389.0
889,2013-06-08,450.0
890,2013-06-09,529.0
891,2013-06-10,613.0
892,2013-06-11,673.0
893,2013-06-12,719.0
894,2013-06-13,758.0
895,2013-06-14,791.0
896,2013-06-15,816.0
897,2013-06-16,837.0
898,2013-06-17,857.0
899,2013-06-18,880.0
900,2013-06-19,887.0
901,2013-06-20,882.0
902,2013-06-21,872.0
903,2013-06-22,860.0
904,2013-06-23,852.0
905,2013-06-24,840.0
906,2013-06-25,831.0
907,2013-06-26,825.0
908,2013-06-27,827.0
909,2013-06-28,840.0
910,2013-06-29,870.0
911,2013-06-30,922.0
912,2013-07-01,951.0
913,2013-07-02,977.0
914,2013-07-03,1000.0
915,2013-07-04,1020.0
916,2013-07-05,1030.0
917,2013-07-06,1030.0
918,2013-07-07,1030.0
919,2013-07-08,1010.0
920,2013-07-09,996.0
921,2013-07-10,977.0
922,2013-07-11,957.0
923,2013-07-12,933.0
924,2013-07-13,912.0
925,2013-07-14,888.0
926,2013-07-15,864.0
927,2013-07-16,840.0
928,2013-07-17,815.0
929,2013-07-18,786.0
930,2013-07-19,759.0
931,2013-07-20,717.0
932,2013-07-21,702.0
933,2013-07-22,675.0
934,2013-07-23,689.0
935,2013-07-24,708.0
936,2013-07-25,720.0
937,2013-07-26,738.0
