,datetime,SAMMAMISH_LAKE_NEAR_REDMOND__WA.
708,2012-12-09,27.71
709,2012-12-10,27.66
710,2012-12-11,27.6
711,2012-12-12,27.58
712,2012-12-13,27.55
713,2012-12-14,27.55
714,2012-12-15,27.54
715,2012-12-16,27.53
716,2012-12-17,27.66
717,2012-12-18,27.7
718,2012-12-19,27.71
719,2012-12-20,27.89
720,2012-12-21,28.06
721,2012-12-22,28.05
722,2012-12-23,27.99
723,2012-12-24,27.93
724,2012-12-25,27.86
725,2012-12-26,27.82
726,2012-12-27,27.83
727,2012-12-28,27.83
728,2012-12-29,27.78
729,2012-12-30,27.72
730,2012-12-31,27.65
731,2013-01-01,27.56
732,2013-01-02,27.49
733,2013-01-03,27.42
734,2013-01-04,27.37
735,2013-01-05,27.31
736,2013-01-06,27.27
737,2013-01-07,27.28
738,2013-01-08,27.32
739,2013-01-09,27.56
740,2013-01-10,27.74
741,2013-01-11,27.75
742,2013-01-12,27.7
743,2013-01-13,27.64
744,2013-01-14,27.56
745,2013-01-15,27.49
746,2013-01-16,27.42
747,2013-01-17,27.35
748,2013-01-18,27.28
749,2013-01-19,27.22
750,2013-01-20,27.16
751,2013-01-21,27.12
752,2013-01-22,27.06
753,2013-01-23,27.02
754,2013-01-24,27.0
755,2013-01-25,27.02
756,2013-01-26,27.01
757,2013-01-27,27.0
758,2013-01-28,27.02
759,2013-01-29,27.13
760,2013-01-30,27.37
761,2013-01-31,27.59
762,2013-02-01,27.71
763,2013-02-02,27.73
764,2013-02-03,27.69
765,2013-02-04,27.64
766,2013-02-05,27.605
767,2013-02-06,27.57
768,2013-02-07,27.535
769,2013-02-08,27.5
770,2013-02-09,27.44
771,2013-02-10,27.38
772,2013-02-11,27.32
773,2013-02-12,27.27
774,2013-02-13,27.22
775,2013-02-14,27.18
776,2013-02-15,27.14
777,2013-02-16,27.11
778,2013-02-17,27.11
779,2013-02-18,27.07
780,2013-02-19,27.03
781,2013-02-20,26.99
782,2013-02-21,26.96
783,2013-02-22,26.94
784,2013-02-23,26.96
785,2013-02-24,26.95
786,2013-02-25,26.94
787,2013-02-26,26.92
788,2013-02-27,26.91
789,2013-02-28,26.95
790,2013-03-01,26.98
791,2013-03-02,27.0
792,2013-03-03,27.07
793,2013-03-04,27.08
794,2013-03-05,27.07
795,2013-03-06,27.07
796,2013-03-07,27.19
797,2013-03-08,27.24
798,2013-03-09,27.24
799,2013-03-10,27.23
800,2013-03-11,27.2
801,2013-03-12,27.17
802,2013-03-13,27.15
803,2013-03-14,27.14
804,2013-03-15,27.12
805,2013-03-16,27.1
806,2013-03-17,27.07
807,2013-03-18,27.04
808,2013-03-19,27.02
809,2013-03-20,27.06
810,2013-03-21,27.1
811,2013-03-22,27.11
812,2013-03-23,27.09
813,2013-03-24,27.07
814,2013-03-25,27.03
815,2013-03-26,27.01
816,2013-03-27,26.98
817,2013-03-28,26.95
818,2013-03-29,26.92
819,2013-03-30,26.88
820,2013-03-31,26.85
821,2013-04-01,26.82
822,2013-04-02,26.79
823,2013-04-03,26.76
824,2013-04-04,26.74
825,2013-04-05,26.79
826,2013-04-06,26.92
827,2013-04-07,27.13
828,2013-04-08,27.38
829,2013-04-09,27.47
830,2013-04-10,27.5
831,2013-04-11,27.52
832,2013-04-12,27.51
833,2013-04-13,27.51
834,2013-04-14,27.57
835,2013-04-15,27.61
836,2013-04-16,27.6
837,2013-04-17,27.55
838,2013-04-18,27.5
839,2013-04-19,27.52
840,2013-04-20,27.65
841,2013-04-21,27.7
842,2013-04-22,27.68
843,2013-04-23,27.63
844,2013-04-24,27.56
845,2013-04-25,27.49
846,2013-04-26,27.43
847,2013-04-27,27.36
848,2013-04-28,27.3
849,2013-04-29,27.29
850,2013-04-30,27.34
851,2013-05-01,27.31
852,2013-05-02,27.27
853,2013-05-03,27.23
854,2013-05-04,27.18
855,2013-05-05,27.13
856,2013-05-06,27.08
857,2013-05-07,27.04
858,2013-05-08,27.0
859,2013-05-09,26.96
860,2013-05-10,26.92
861,2013-05-11,26.88
862,2013-05-12,26.85
863,2013-05-13,26.84
864,2013-05-14,26.83
865,2013-05-15,26.8
866,2013-05-16,26.78
867,2013-05-17,26.75
868,2013-05-18,26.73
869,2013-05-19,26.7
870,2013-05-20,26.68
871,2013-05-21,26.68
872,2013-05-22,26.69
873,2013-05-23,26.7
874,2013-05-24,26.69
875,2013-05-25,26.68
876,2013-05-26,26.67
877,2013-05-27,26.67
878,2013-05-28,26.69
879,2013-05-29,26.7
880,2013-05-30,26.7
881,2013-05-31,26.69
882,2013-06-01,26.68
883,2013-06-02,26.68
884,2013-06-03,26.67
885,2013-06-04,26.65
886,2013-06-05,26.63
887,2013-06-06,26.61
888,2013-06-07,26.58
889,2013-06-08,26.54
890,2013-06-09,26.52
891,2013-06-10,26.49
892,2013-06-11,26.46
893,2013-06-12,26.44
894,2013-06-13,26.42
895,2013-06-14,26.41
896,2013-06-15,26.39
897,2013-06-16,26.39
898,2013-06-17,26.38
899,2013-06-18,26.37
900,2013-06-19,26.35
901,2013-06-20,26.36
902,2013-06-21,26.45
903,2013-06-22,26.45
904,2013-06-23,26.44
905,2013-06-24,26.45
906,2013-06-25,26.46
907,2013-06-26,26.5
908,2013-06-27,26.51
909,2013-06-28,26.5
910,2013-06-29,26.48
911,2013-06-30,26.46
912,2013-07-01,26.45
913,2013-07-02,26.43
914,2013-07-03,26.41
915,2013-07-04,26.38
916,2013-07-05,26.35
917,2013-07-06,26.33
918,2013-07-07,26.31
919,2013-07-08,26.29
920,2013-07-09,26.28
921,2013-07-10,26.26
922,2013-07-11,26.25
923,2013-07-12,26.23
924,2013-07-13,26.21
925,2013-07-14,26.2
926,2013-07-15,26.19
927,2013-07-16,26.17
928,2013-07-17,26.17
929,2013-07-18,26.15
930,2013-07-19,26.15
931,2013-07-20,26.14
932,2013-07-21,26.14
933,2013-07-22,26.13
934,2013-07-23,26.12
935,2013-07-24,26.11
936,2013-07-25,26.1
937,2013-07-26,26.09
938,2013-07-27,26.07
939,2013-07-28,26.06
940,2013-07-29,26.05
941,2013-07-30,26.05
942,2013-07-31,26.04
943,2013-08-01,26.04
944,2013-08-02,26.04
945,2013-08-03,26.05
946,2013-08-04,26.04
947,2013-08-05,26.04
948,2013-08-06,26.04
949,2013-08-07,26.04
950,2013-08-08,26.03
951,2013-08-09,26.02
952,2013-08-10,26.03
953,2013-08-11,26.02
954,2013-08-12,26.01
955,2013-08-13,26.0
956,2013-08-14,26.0
957,2013-08-15,26.0
958,2013-08-16,26.01
959,2013-08-17,26.0
960,2013-08-18,25.99
961,2013-08-19,25.98
962,2013-08-20,25.97
963,2013-08-21,25.96
964,2013-08-22,25.95
965,2013-08-23,25.94
966,2013-08-24,25.93
967,2013-08-25,25.92
968,2013-08-26,25.92
969,2013-08-27,25.92
970,2013-08-28,25.95
971,2013-08-29,26.01
972,2013-08-30,26.1
973,2013-08-31,26.1
974,2013-09-01,26.1
975,2013-09-02,26.09
976,2013-09-03,26.11
977,2013-09-04,26.11
978,2013-09-05,26.11
979,2013-09-06,26.32
980,2013-09-07,26.37
981,2013-09-08,26.37
982,2013-09-09,26.35
983,2013-09-10,26.33
984,2013-09-11,26.32
985,2013-09-12,26.3
986,2013-09-13,26.29
987,2013-09-14,26.27
988,2013-09-15,26.26
989,2013-09-16,26.27
990,2013-09-17,26.26
991,2013-09-18,26.24
992,2013-09-19,26.23
993,2013-09-20,26.21
994,2013-09-21,26.2
995,2013-09-22,26.2
996,2013-09-23,26.21
997,2013-09-24,26.22
998,2013-09-25,26.22
999,2013-09-26,26.21
1000,2013-09-27,26.21
1001,2013-09-28,26.29
1002,2013-09-29,26.53
1003,2013-09-30,26.73
1004,2013-10-01,26.93
1005,2013-10-02,26.99
1006,2013-10-03,27.04
1007,2013-10-04,27.02
1008,2013-10-05,26.98
1009,2013-10-06,26.94
1010,2013-10-07,26.9
1011,2013-10-08,26.87
1012,2013-10-09,26.84
1013,2013-10-10,26.8
1014,2013-10-11,26.8
1015,2013-10-12,26.78
1016,2013-10-13,26.76
1017,2013-10-14,26.73
1018,2013-10-15,26.69
1019,2013-10-16,26.66
1020,2013-10-17,26.64
1021,2013-10-18,26.61
1022,2013-10-19,26.58
1023,2013-10-20,26.55
1024,2013-10-21,26.53
1025,2013-10-22,26.5
1026,2013-10-23,26.48
1027,2013-10-24,26.46
1028,2013-10-25,26.44
