,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.
880,2013-05-30,63390
881,2013-05-31,63500
882,2013-06-01,63610
883,2013-06-02,63560
884,2013-06-03,63610
885,2013-06-04,63600
886,2013-06-05,63630
887,2013-06-06,63690
888,2013-06-07,63770
889,2013-06-08,63990
890,2013-06-09,63940
891,2013-06-10,63880
892,2013-06-11,63820
893,2013-06-12,63710
894,2013-06-13,63620
895,2013-06-14,63520
896,2013-06-15,63440
897,2013-06-16,63130
898,2013-06-17,62830
899,2013-06-18,62510
900,2013-06-19,62410
901,2013-06-20,62390
902,2013-06-21,62330
903,2013-06-22,62330
904,2013-06-23,62200
905,2013-06-24,62130
906,2013-06-25,62200
907,2013-06-26,62100
908,2013-06-27,62050
909,2013-06-28,62120
910,2013-06-29,62420
911,2013-06-30,62750
912,2013-07-01,62940
913,2013-07-02,63200
914,2013-07-03,63490
915,2013-07-04,63560
916,2013-07-05,63520
917,2013-07-06,63440
918,2013-07-07,63370
919,2013-07-08,63320
920,2013-07-09,63330
921,2013-07-10,63270
922,2013-07-11,63310
923,2013-07-12,63250
924,2013-07-13,63230
925,2013-07-14,63210
926,2013-07-15,63180
927,2013-07-16,63200
928,2013-07-17,63160
929,2013-07-18,63190
930,2013-07-19,63130
931,2013-07-20,63380
932,2013-07-21,63700
933,2013-07-22,63610
934,2013-07-23,63470
935,2013-07-24,63330
936,2013-07-25,63140
937,2013-07-26,63010
938,2013-07-27,62890
939,2013-07-28,62690
940,2013-07-29,62490
941,2013-07-30,62250
942,2013-07-31,62020
943,2013-08-01,61720
944,2013-08-02,61510
945,2013-08-03,61240
946,2013-08-04,60950
947,2013-08-05,60670
948,2013-08-06,60340
949,2013-08-07,60070
950,2013-08-08,59690
951,2013-08-09,59360
952,2013-08-10,58890
953,2013-08-11,58300
954,2013-08-12,57800
955,2013-08-13,57290
956,2013-08-14,56780
957,2013-08-15,56330
958,2013-08-16,55800
959,2013-08-17,55220
960,2013-08-18,54690
961,2013-08-19,54450
962,2013-08-20,54160
963,2013-08-21,53700
964,2013-08-22,53340
965,2013-08-23,53050
966,2013-08-24,52640
967,2013-08-25,52140
968,2013-08-26,51650
969,2013-08-27,51250
970,2013-08-28,50730
971,2013-08-29,50150
972,2013-08-30,49590
973,2013-08-31,49030
974,2013-09-01,48420
