,datetime,DIABLO_RESERVOIR_NEAR_NEWHALEM__WA.
511,2012-05-26,1200.11
512,2012-05-27,1200.34
513,2012-05-28,1200.96
514,2012-05-29,1200.59
515,2012-05-30,1201.74
516,2012-05-31,1202.31
517,2012-06-01,1203.47
518,2012-06-02,1201.93
519,2012-06-03,1201.16
520,2012-06-04,1200.23
521,2012-06-05,1200.77
522,2012-06-06,1200.04
523,2012-06-07,1200.39
524,2012-06-08,1199.9
525,2012-06-09,1200.16
526,2012-06-10,1201.97
527,2012-06-11,1201.52
528,2012-06-12,1201.14
529,2012-06-13,1202.22
530,2012-06-14,1202.25
531,2012-06-15,1200.67
532,2012-06-16,1201.65
533,2012-06-17,1201.34
534,2012-06-18,1201.26
535,2012-06-19,1200.8
536,2012-06-20,1201.97
537,2012-06-21,1202.09
538,2012-06-22,1201.82
539,2012-06-23,1200.98
540,2012-06-24,1201.32
541,2012-06-25,1200.65
542,2012-06-26,1201.81
543,2012-06-27,1202.9
544,2012-06-28,1202.67
545,2012-06-29,1201.86
546,2012-06-30,1202.44
547,2012-07-01,1202.4
548,2012-07-02,1202.38
549,2012-07-03,1202.0
550,2012-07-04,1202.36
551,2012-07-05,1203.18
552,2012-07-06,1201.01
553,2012-07-07,1202.46
554,2012-07-08,1201.35
555,2012-07-09,1202.33
556,2012-07-10,1203.63
557,2012-07-11,1203.22
558,2012-07-12,1202.73
559,2012-07-13,1202.98
560,2012-07-14,1203.11
561,2012-07-15,1203.66
562,2012-07-16,1202.51
563,2012-07-17,1201.55
564,2012-07-18,1201.11
565,2012-07-19,1201.24
566,2012-07-20,1202.27
567,2012-07-21,1200.98
568,2012-07-22,1200.84
569,2012-07-23,1201.36
570,2012-07-24,1201.2
571,2012-07-25,1201.63
572,2012-07-26,1203.29
573,2012-07-27,1202.42
574,2012-07-28,1201.89
575,2012-07-29,1201.54
576,2012-07-30,1201.64
577,2012-07-31,1202.29
578,2012-08-01,1201.86
579,2012-08-02,1201.58
580,2012-08-03,1203.27
581,2012-08-04,1202.87
582,2012-08-05,1203.29
583,2012-08-06,1202.95
584,2012-08-07,1201.13
585,2012-08-08,1200.45
586,2012-08-09,1200.45
587,2012-08-10,1201.08
588,2012-08-11,1201.69
589,2012-08-12,1202.05
590,2012-08-13,1203.21
591,2012-08-14,1202.42
592,2012-08-15,1201.42
593,2012-08-16,1201.12
594,2012-08-17,1202.23
595,2012-08-18,1202.2
596,2012-08-19,1200.35
597,2012-08-20,1202.11
598,2012-08-21,1201.25
599,2012-08-22,1201.53
600,2012-08-23,1201.24
601,2012-08-24,1200.71
602,2012-08-25,1200.6
603,2012-08-26,1200.19
604,2012-08-27,1200.36
605,2012-08-28,1200.29
606,2012-08-29,1200.52
607,2012-08-30,1199.9
608,2012-08-31,1200.23
609,2012-09-01,1201.12
610,2012-09-02,1201.36
611,2012-09-03,1201.83
