,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.
642,2012-10-04,871.44
643,2012-10-05,871.18
644,2012-10-06,871.58
645,2012-10-07,870.91
646,2012-10-08,871.36
647,2012-10-09,871.3
648,2012-10-10,872.05
649,2012-10-11,871.78
650,2012-10-12,870.44
651,2012-10-13,870.51
652,2012-10-14,871.74
653,2012-10-15,872.06
654,2012-10-16,871.19
655,2012-10-17,871.39
656,2012-10-18,871.95
657,2012-10-19,874.6
658,2012-10-20,872.84
659,2012-10-21,870.63
660,2012-10-22,870.29
661,2012-10-23,870.42
662,2012-10-24,870.33
663,2012-10-25,870.47
664,2012-10-26,871.65
665,2012-10-27,871.21
666,2012-10-28,871.9
667,2012-10-29,873.28
668,2012-10-30,869.52
669,2012-10-31,871.01
670,2012-11-01,868.89
671,2012-11-02,870.14
672,2012-11-03,871.97
673,2012-11-04,871.15
674,2012-11-05,870.03
675,2012-11-06,871.18
676,2012-11-07,868.49
677,2012-11-08,870.21
678,2012-11-09,870.32
679,2012-11-10,870.42
680,2012-11-11,870.21
681,2012-11-12,870.59
682,2012-11-13,870.05
683,2012-11-14,873.09
684,2012-11-15,872.03
685,2012-11-16,871.79
686,2012-11-17,871.19
687,2012-11-18,871.04
688,2012-11-19,872.19
689,2012-11-20,872.52
690,2012-11-21,870.99
691,2012-11-22,870.6
692,2012-11-23,871.19
693,2012-11-24,871.07
694,2012-11-25,870.97
695,2012-11-26,872.81
696,2012-11-27,871.34
697,2012-11-28,870.95
698,2012-11-29,871.02
699,2012-11-30,871.89
700,2012-12-01,871.7
701,2012-12-02,871.51
702,2012-12-03,871.12
703,2012-12-04,871.16
704,2012-12-05,871.09
705,2012-12-06,870.95
706,2012-12-07,871.14
707,2012-12-08,871.53
708,2012-12-09,870.92
709,2012-12-10,870.93
710,2012-12-11,871.65
711,2012-12-12,870.78
712,2012-12-13,871.95
713,2012-12-14,871.15
714,2012-12-15,870.99
715,2012-12-16,871.77
716,2012-12-17,872.08
717,2012-12-18,871.71
718,2012-12-19,871.15
719,2012-12-20,871.84
720,2012-12-21,871.55
721,2012-12-22,871.32
722,2012-12-23,871.44
723,2012-12-24,870.52
724,2012-12-25,871.23
725,2012-12-26,872.12
726,2012-12-27,870.82
727,2012-12-28,872.11
728,2012-12-29,872.47
729,2012-12-30,872.56
730,2012-12-31,872.02
731,2013-01-01,874.41
732,2013-01-02,871.7
733,2013-01-03,872.38
734,2013-01-04,872.1
735,2013-01-05,871.73
736,2013-01-06,871.31
737,2013-01-07,871.58
738,2013-01-08,871.48
739,2013-01-09,869.88
740,2013-01-10,873.18
741,2013-01-11,872.78
742,2013-01-12,872.76
743,2013-01-13,872.69
744,2013-01-14,871.58
745,2013-01-15,871.14
746,2013-01-16,871.39
747,2013-01-17,870.84
748,2013-01-18,872.55
749,2013-01-19,871.37
750,2013-01-20,872.01
751,2013-01-21,870.63
752,2013-01-22,871.96
753,2013-01-23,872.22
754,2013-01-24,872.38
755,2013-01-25,871.17
756,2013-01-26,871.75
757,2013-01-27,871.48
758,2013-01-28,871.06
759,2013-01-29,872.35
760,2013-01-30,871.66
761,2013-01-31,871.75
762,2013-02-01,871.87
763,2013-02-02,872.99
764,2013-02-03,872.4
765,2013-02-04,871.15
766,2013-02-05,871.22
