,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.
544,2012-06-28,139737.44
545,2012-06-29,138837.1
546,2012-06-30,137636.69
547,2012-07-01,136836.37
548,2012-07-02,135836.01
549,2012-07-03,134935.69
550,2012-07-04,134035.37
551,2012-07-05,133235.06
552,2012-07-06,132334.73
553,2012-07-07,131434.39
554,2012-07-08,130634.08
555,2012-07-09,129833.77
556,2012-07-10,129233.54
557,2012-07-11,128233.17
558,2012-07-12,127432.86
559,2012-07-13,126432.44
560,2012-07-14,125432.05
561,2012-07-15,124431.68
562,2012-07-16,123631.33
563,2012-07-17,122630.93
564,2012-07-18,121930.65
565,2012-07-19,121330.4
566,2012-07-20,120630.14
567,2012-07-21,120029.87
568,2012-07-22,119329.61
569,2012-07-23,118429.28
570,2012-07-24,117628.97
571,2012-07-25,116928.66
572,2012-07-26,116128.35
573,2012-07-27,115328.04
574,2012-07-28,114527.72
575,2012-07-29,113727.41
576,2012-07-30,112927.08
577,2012-07-31,112326.82
578,2012-08-01,111426.47
579,2012-08-02,110426.06
580,2012-08-03,109525.65
581,2012-08-04,108425.2
582,2012-08-05,107524.83
583,2012-08-06,106624.45
584,2012-08-07,105724.06
585,2012-08-08,104823.67
586,2012-08-09,104023.29
587,2012-08-10,103122.88
588,2012-08-11,102122.47
589,2012-08-12,101282.07
590,2012-08-13,100471.7
591,2012-08-14,99561.28
592,2012-08-15,98610.84
593,2012-08-16,97670.4
594,2012-08-17,96779.98
595,2012-08-18,95829.54
596,2012-08-19,94889.1
597,2012-08-20,94008.68
598,2012-08-21,93168.28
599,2012-08-22,92407.91
600,2012-08-23,91617.53
601,2012-08-24,90867.16
602,2012-08-25,90096.78
603,2012-08-26,89356.41
604,2012-08-27,88636.05
605,2012-08-28,87885.67
606,2012-08-29,87185.31
607,2012-08-30,86404.91
608,2012-08-31,85614.5
609,2012-09-01,84874.11
610,2012-09-02,84213.76
611,2012-09-03,83613.44
612,2012-09-04,83103.17
613,2012-09-05,82582.89
614,2012-09-06,82012.58
615,2012-09-07,81412.25
616,2012-09-08,80721.87
617,2012-09-09,80091.52
618,2012-09-10,79431.15
619,2012-09-11,78720.75
620,2012-09-12,78090.39
621,2012-09-13,77430.01
622,2012-09-14,76699.63
623,2012-09-15,76079.3
624,2012-09-16,75268.87
625,2012-09-17,74508.46
626,2012-09-18,73758.05
627,2012-09-19,73027.65
628,2012-09-20,72287.24
629,2012-09-21,71596.85
630,2012-09-22,70956.49
631,2012-09-23,70396.17
632,2012-09-24,69775.81
633,2012-09-25,69255.51
634,2012-09-26,68675.17
635,2012-09-27,68124.85
636,2012-09-28,67594.53
637,2012-09-29,67034.2
638,2012-09-30,66493.87
639,2012-10-01,66083.62
640,2012-10-02,65673.37
641,2012-10-03,65103.02
642,2012-10-04,64522.66
643,2012-10-05,63952.3
644,2012-10-06,63301.89
645,2012-10-07,62771.55
646,2012-10-08,62371.29
647,2012-10-09,61961.03
648,2012-10-10,61600.79
649,2012-10-11,61230.55
650,2012-10-12,60960.37
651,2012-10-13,60900.33
652,2012-10-14,60970.38
653,2012-10-15,60970.38
654,2012-10-16,60910.34
655,2012-10-17,60900.33
656,2012-10-18,60880.32
657,2012-10-19,60790.26
658,2012-10-20,60610.14
659,2012-10-21,60580.12
660,2012-10-22,60660.17
661,2012-10-23,60640.16
662,2012-10-24,60660.17
663,2012-10-25,60610.14
664,2012-10-26,60600.13
665,2012-10-27,60540.09
666,2012-10-28,60520.08
667,2012-10-29,60500.07
668,2012-10-30,60460.04
669,2012-10-31,60480.05
670,2012-11-01,60480.05
671,2012-11-02,60420.01
672,2012-11-03,60379.99
673,2012-11-04,60309.94
674,2012-11-05,60259.91
675,2012-11-06,60259.91
676,2012-11-07,60169.85
677,2012-11-08,60149.84
678,2012-11-09,60099.81
679,2012-11-10,60089.8
680,2012-11-11,59869.66
681,2012-11-12,59779.6
682,2012-11-13,59779.6
683,2012-11-14,59789.61
684,2012-11-15,59729.57
685,2012-11-16,59809.62
686,2012-11-17,59919.69
687,2012-11-18,59899.68
688,2012-11-19,59869.66
689,2012-11-20,60009.75
690,2012-11-21,60259.91
691,2012-11-22,60339.96
692,2012-11-23,60349.97
693,2012-11-24,60400.0
694,2012-11-25,60400.0
695,2012-11-26,60420.01
696,2012-11-27,60420.01
697,2012-11-28,60600.13
698,2012-11-29,61470.71
699,2012-11-30,66653.97
700,2012-12-01,68044.8
701,2012-12-02,76319.43
702,2012-12-03,76759.66
703,2012-12-04,77389.99
704,2012-12-05,79130.98
705,2012-12-06,79931.43
706,2012-12-07,80501.75
707,2012-12-08,80901.97
708,2012-12-09,81192.13
709,2012-12-10,81452.27
710,2012-12-11,81632.37
711,2012-12-12,81832.48
712,2012-12-13,81982.56
713,2012-12-14,82122.64
714,2012-12-15,82362.77
715,2012-12-16,82532.86
716,2012-12-17,83013.12
717,2012-12-18,83333.29
718,2012-12-19,83553.41
719,2012-12-20,83783.53
720,2012-12-21,88265.86
721,2012-12-22,92277.85
722,2012-12-23,98030.57
723,2012-12-24,101111.99
724,2012-12-25,102922.8
725,2012-12-26,104323.43
726,2012-12-27,105423.9
727,2012-12-28,106224.26
728,2012-12-29,106924.55
729,2012-12-30,107424.79
730,2012-12-31,107924.99
731,2013-01-01,108425.19
732,2013-01-02,108725.35
733,2013-01-03,109125.48
734,2013-01-04,109425.61
735,2013-01-05,109825.79
736,2013-01-06,110225.96
737,2013-01-07,110526.09
738,2013-01-08,110826.22
739,2013-01-09,111126.35
740,2013-01-10,111426.47
741,2013-01-11,111626.56
742,2013-01-12,111926.66
743,2013-01-13,112126.75
744,2013-01-14,112326.82
745,2013-01-15,112526.91
746,2013-01-16,112626.95
747,2013-01-17,112827.02
748,2013-01-18,112927.09
749,2013-01-19,113127.14
750,2013-01-20,113227.2
751,2013-01-21,113427.27
752,2013-01-22,113527.32
753,2013-01-23,113827.44
754,2013-01-24,114027.52
755,2013-01-25,114127.58
756,2013-01-26,114327.66
757,2013-01-27,114527.71
758,2013-01-28,114627.76
759,2013-01-29,114727.81
760,2013-01-30,114927.87
761,2013-01-31,115027.91
762,2013-02-01,115127.96
763,2013-02-02,115228.0
764,2013-02-03,115328.05
765,2013-02-04,115428.09
766,2013-02-05,115528.14
767,2013-02-06,115628.16
768,2013-02-07,115728.21
769,2013-02-08,115828.23
770,2013-02-09,115828.26
771,2013-02-10,115928.28
772,2013-02-11,116028.31
773,2013-02-12,116028.33
774,2013-02-13,116128.37
775,2013-02-14,116128.37
776,2013-02-15,116228.41
777,2013-02-16,116328.44
778,2013-02-17,116328.46
779,2013-02-18,116428.47
780,2013-02-19,116528.53
781,2013-02-20,116528.54
782,2013-02-21,116628.57
783,2013-02-22,116628.57
784,2013-02-23,116728.6
785,2013-02-24,116728.61
786,2013-02-25,116828.63
787,2013-02-26,116828.64
788,2013-02-27,116928.66
789,2013-02-28,116928.67
790,2013-03-01,116928.69
791,2013-03-02,117028.7
792,2013-03-03,117028.72
793,2013-03-04,117128.74
794,2013-03-05,117228.79
795,2013-03-06,117528.91
796,2013-03-07,117628.97
797,2013-03-08,117729.0
798,2013-03-09,117829.02
799,2013-03-10,117929.06
800,2013-03-11,117929.08
801,2013-03-12,118029.1
802,2013-03-13,117929.08
803,2013-03-14,117729.0
804,2013-03-15,117328.85
805,2013-03-16,117028.71
806,2013-03-17,116528.53
807,2013-03-18,116028.31
808,2013-03-19,115328.04
809,2013-03-20,114627.75
810,2013-03-21,113727.41
811,2013-03-22,112827.05
812,2013-03-23,112026.7
813,2013-03-24,111126.35
814,2013-03-25,110326.0
815,2013-03-26,109525.67
816,2013-03-27,108625.28
817,2013-03-28,107824.93
818,2013-03-29,107024.61
819,2013-03-30,106424.34
820,2013-03-31,105924.11
821,2013-04-01,105423.89
822,2013-04-02,104923.7
823,2013-04-03,104523.51
824,2013-04-04,104323.42
825,2013-04-05,104123.33
826,2013-04-06,103923.24
827,2013-04-07,103823.21
828,2013-04-08,103623.12
829,2013-04-09,103423.05
830,2013-04-10,103322.98
831,2013-04-11,103022.84
832,2013-04-12,102622.67
833,2013-04-13,102222.49
834,2013-04-14,101822.3
835,2013-04-15,101422.14
836,2013-04-16,101041.96
837,2013-04-17,100511.72
838,2013-04-18,99881.43
839,2013-04-19,99231.13
840,2013-04-20,98630.85
841,2013-04-21,97990.55
842,2013-04-22,97260.21
843,2013-04-23,96409.81
844,2013-04-24,95489.38
845,2013-04-25,94598.96
846,2013-04-26,93588.48
847,2013-04-27,92608.01
848,2013-04-28,91597.52
849,2013-04-29,90607.03
850,2013-04-30,89616.54
851,2013-05-01,88515.99
852,2013-05-02,87515.48
853,2013-05-03,86524.97
854,2013-05-04,85524.45
855,2013-05-05,84573.95
856,2013-05-06,83723.5
857,2013-05-07,82943.08
858,2013-05-08,82232.7
859,2013-05-09,81362.22
860,2013-05-10,80871.95
861,2013-05-11,80311.64
862,2013-05-12,79711.31
863,2013-05-13,78860.83
864,2013-05-14,77950.31
865,2013-05-15,77069.82
866,2013-05-16,76509.53
867,2013-05-17,76059.29
868,2013-05-18,75569.03
869,2013-05-19,75108.78
870,2013-05-20,74638.53
871,2013-05-21,74158.27
872,2013-05-22,73668.0
873,2013-05-23,73157.72
874,2013-05-24,72707.47
875,2013-05-25,72257.22
876,2013-05-26,71806.97
877,2013-05-27,71306.69
878,2013-05-28,70836.42
879,2013-05-29,70416.18
880,2013-05-30,69945.91
881,2013-05-31,69475.64
882,2013-06-01,69045.39
883,2013-06-02,68605.13
884,2013-06-03,68124.85
885,2013-06-04,67654.57
886,2013-06-05,67224.31
887,2013-06-06,66744.02
888,2013-06-07,66223.71
889,2013-06-08,65683.38
890,2013-06-09,65133.04
891,2013-06-10,64542.67
892,2013-06-11,63922.28
893,2013-06-12,63251.86
894,2013-06-13,62681.49
895,2013-06-14,62161.16
896,2013-06-15,61690.85
897,2013-06-16,61220.54
898,2013-06-17,60750.23
899,2013-06-18,60269.92
900,2013-06-19,59819.63
901,2013-06-20,59339.32
902,2013-06-21,58849.0
903,2013-06-22,58398.7
904,2013-06-23,57908.38
905,2013-06-24,57478.09
906,2013-06-25,57017.78
907,2013-06-26,56607.5
908,2013-06-27,56127.17
909,2013-06-28,55686.87
910,2013-06-29,55216.54
911,2013-06-30,54756.22
912,2013-07-01,54315.91
913,2013-07-02,53865.59
914,2013-07-03,53395.25
915,2013-07-04,52954.93
916,2013-07-05,52474.58
917,2013-07-06,52024.25
918,2013-07-07,51563.91
919,2013-07-08,51163.61
920,2013-07-09,50703.26
921,2013-07-10,50262.92
922,2013-07-11,49832.59
923,2013-07-12,49402.26
924,2013-07-13,48971.92
925,2013-07-14,48551.59
926,2013-07-15,47961.12
927,2013-07-16,47320.6
928,2013-07-17,46710.1
929,2013-07-18,46119.6
930,2013-07-19,45509.08
931,2013-07-20,44928.58
932,2013-07-21,44348.07
933,2013-07-22,43837.62
934,2013-07-23,43327.16
935,2013-07-24,42736.62
936,2013-07-25,42025.97
937,2013-07-26,41355.34
938,2013-07-27,40694.71
939,2013-07-28,40034.07
940,2013-07-29,39373.42
941,2013-07-30,38712.76
942,2013-07-31,38152.19
943,2013-08-01,37691.71
944,2013-08-02,37291.29
945,2013-08-03,36880.86
946,2013-08-04,36490.44
947,2013-08-05,36080.0
