,datetime,TRINITY_LAKE_NR_LEWISTON_CA.
899,2013-06-18,1886000
900,2013-06-19,1879000
901,2013-06-20,1872000
902,2013-06-21,1865000
903,2013-06-22,1858000
904,2013-06-23,1851000
905,2013-06-24,1844000
906,2013-06-25,1839000
907,2013-06-26,1836000
908,2013-06-27,1830000
909,2013-06-28,1824000
910,2013-06-29,1819000
911,2013-06-30,1812000
912,2013-07-01,1806000
913,2013-07-02,1799000
914,2013-07-03,1793000
915,2013-07-04,1785000
916,2013-07-05,1778000
917,2013-07-06,1770000
918,2013-07-07,1763000
919,2013-07-08,1756000
920,2013-07-09,1748000
921,2013-07-10,1741000
922,2013-07-11,1735000
923,2013-07-12,1727000
924,2013-07-13,1720000
925,2013-07-14,1713000
926,2013-07-15,1705000
927,2013-07-16,1697000
928,2013-07-17,1689000
929,2013-07-18,1682000
930,2013-07-19,1675000
931,2013-07-20,1669000
932,2013-07-21,1665000
933,2013-07-22,1658000
934,2013-07-23,1650000
935,2013-07-24,1643000
936,2013-07-25,1636000
937,2013-07-26,1629000
938,2013-07-27,1621000
939,2013-07-28,1613000
940,2013-07-29,1605000
941,2013-07-30,1598000
942,2013-07-31,1590000
943,2013-08-01,1582000
944,2013-08-02,1575000
945,2013-08-03,1567000
946,2013-08-04,1560000
947,2013-08-05,1553000
948,2013-08-06,1546000
949,2013-08-07,1539000
950,2013-08-08,1531000
951,2013-08-09,1524000
952,2013-08-10,1517000
953,2013-08-11,1511000
954,2013-08-12,1504000
955,2013-08-13,1498000
956,2013-08-14,1494000
957,2013-08-15,1488000
958,2013-08-16,1483000
959,2013-08-17,1478000
960,2013-08-18,1473000
961,2013-08-19,1469000
962,2013-08-20,1464000
963,2013-08-21,1459000
964,2013-08-22,1453000
965,2013-08-23,1448000
966,2013-08-24,1443000
967,2013-08-25,1437000
968,2013-08-26,1432000
969,2013-08-27,1427000
970,2013-08-28,1422000
971,2013-08-29,1417000
972,2013-08-30,1412000
973,2013-08-31,1407000
974,2013-09-01,1402000
975,2013-09-02,1397000
976,2013-09-03,1391000
977,2013-09-04,1387000
978,2013-09-05,1382000
979,2013-09-06,1379000
980,2013-09-07,1375000
981,2013-09-08,1371000
982,2013-09-09,1367000
983,2013-09-10,1363000
984,2013-09-11,1359000
985,2013-09-12,1355000
986,2013-09-13,1353000
987,2013-09-14,1349000
988,2013-09-15,1344000
989,2013-09-16,1340000
990,2013-09-17,1336000
991,2013-09-18,1333000
992,2013-09-19,1330000
993,2013-09-20,1327000
994,2013-09-21,1325000
995,2013-09-22,1322000
996,2013-09-23,1319000
997,2013-09-24,1316000
998,2013-09-25,1313000
999,2013-09-26,1311000
1000,2013-09-27,1308000
1001,2013-09-28,1305000
1002,2013-09-29,1304000
1003,2013-09-30,1303000
1004,2013-10-01,1301000
1005,2013-10-02,1299000
1006,2013-10-03,1296000
1007,2013-10-04,1294000
1008,2013-10-05,1291000
1009,2013-10-06,1289000
1010,2013-10-07,1286000
1011,2013-10-08,1284000
1012,2013-10-09,1280000
1013,2013-10-10,1278000
1014,2013-10-11,1276000
1015,2013-10-12,1273000
1016,2013-10-13,1270000
1017,2013-10-14,1268000
1018,2013-10-15,1265000
1019,2013-10-16,1263000
1020,2013-10-17,1260000
1021,2013-10-18,1258000
1022,2013-10-19,1255000
1023,2013-10-20,1252000
1024,2013-10-21,1250000
1025,2013-10-22,1247000
1026,2013-10-23,1244000
1027,2013-10-24,1242000
1028,2013-10-25,1239000
1029,2013-10-26,1236000
1030,2013-10-27,1233000
1031,2013-10-28,1230000
1032,2013-10-29,1227000
1033,2013-10-30,1225000
1034,2013-10-31,1222000
1035,2013-11-01,1222000
1036,2013-11-02,1221000
1037,2013-11-03,1221000
1038,2013-11-04,1220000
1039,2013-11-05,1220000
1040,2013-11-06,1220000
1041,2013-11-07,1219000
1042,2013-11-08,1218000
1043,2013-11-09,1218000
1044,2013-11-10,1218000
1045,2013-11-11,1217000
1046,2013-11-12,1217000
1047,2013-11-13,1217000
1048,2013-11-14,1216000
1049,2013-11-15,1215000
1050,2013-11-16,1215000
1051,2013-11-17,1215000
1052,2013-11-18,1214000
1053,2013-11-19,1215000
1054,2013-11-20,1216000
1055,2013-11-21,1216000
1056,2013-11-22,1216000
1057,2013-11-23,1215000
1058,2013-11-24,1215000
1059,2013-11-25,1215000
