,datetime,SWIFT_RESERVOIR_NEAR_COUGAR__WA.
864,2013-05-14,642799.08
865,2013-05-15,642798.47
866,2013-05-16,642797.62
867,2013-05-17,642797.55
868,2013-05-18,642797.34
869,2013-05-19,642796.01
870,2013-05-20,642795.03
871,2013-05-21,642795.57
872,2013-05-22,642795.52
873,2013-05-23,642795.5
874,2013-05-24,642796.01
875,2013-05-25,642796.34
876,2013-05-26,642797.12
877,2013-05-27,642797.33
878,2013-05-28,642797.47
879,2013-05-29,642797.29
880,2013-05-30,642797.85
881,2013-05-31,642797.87
882,2013-06-01,642798.39
883,2013-06-02,642798.75
884,2013-06-03,642798.84
885,2013-06-04,642798.74
886,2013-06-05,642798.73
887,2013-06-06,642799.07
888,2013-06-07,642798.95
889,2013-06-08,642798.81
890,2013-06-09,642798.82
891,2013-06-10,642798.47
892,2013-06-11,642798.36
893,2013-06-12,642797.69
894,2013-06-13,642797.79
895,2013-06-14,642797.52
896,2013-06-15,642797.59
897,2013-06-16,642797.75
898,2013-06-17,642797.62
899,2013-06-18,642797.7
900,2013-06-19,642797.74
901,2013-06-20,642797.67
902,2013-06-21,642797.76
903,2013-06-22,642797.65
904,2013-06-23,642797.66
905,2013-06-24,642797.64
906,2013-06-25,642798.45
907,2013-06-26,642799.1
908,2013-06-27,642799.33
909,2013-06-28,642799.14
910,2013-06-29,642798.55
911,2013-06-30,642798.01
912,2013-07-01,642797.39
913,2013-07-02,642797.09
914,2013-07-03,642797.1
915,2013-07-04,642797.67
916,2013-07-05,642798.2
917,2013-07-06,642798.16
918,2013-07-07,642798.02
919,2013-07-08,642797.71
920,2013-07-09,642796.96
921,2013-07-10,642796.82
922,2013-07-11,642797.3
923,2013-07-12,642797.57
924,2013-07-13,642797.32
925,2013-07-14,642797.07
926,2013-07-15,642797.33
927,2013-07-16,642797.09
928,2013-07-17,642797.09
929,2013-07-18,642797.1
930,2013-07-19,642796.97
931,2013-07-20,642797.23
932,2013-07-21,642797.61
933,2013-07-22,642797.6
934,2013-07-23,642797.59
935,2013-07-24,642797.97
936,2013-07-25,642797.53
937,2013-07-26,642797.26
938,2013-07-27,642797.61
939,2013-07-28,642797.63
940,2013-07-29,642797.28
941,2013-07-30,642797.11
942,2013-07-31,642797.14
943,2013-08-01,642796.88
944,2013-08-02,642796.89
945,2013-08-03,642796.45
946,2013-08-04,642796.07
947,2013-08-05,642795.66
948,2013-08-06,642795.38
949,2013-08-07,642795.31
950,2013-08-08,642794.79
951,2013-08-09,642794.52
952,2013-08-10,642794.83
953,2013-08-11,642795.03
954,2013-08-12,642794.85
955,2013-08-13,642794.72
956,2013-08-14,642794.47
957,2013-08-15,642794.21
958,2013-08-16,642793.53
959,2013-08-17,642793.78
960,2013-08-18,642793.52
961,2013-08-19,642793.52
962,2013-08-20,642793.13
963,2013-08-21,642793.26
964,2013-08-22,642793.14
965,2013-08-23,642793.23
966,2013-08-24,642793.15
967,2013-08-25,642792.98
968,2013-08-26,642792.03
969,2013-08-27,642791.38
970,2013-08-28,642790.77
971,2013-08-29,642789.52
972,2013-08-30,642788.16
973,2013-08-31,642786.99
974,2013-09-01,642786.62
975,2013-09-02,642785.72
976,2013-09-03,642784.6
977,2013-09-04,642784.92
978,2013-09-05,642785.24
979,2013-09-06,642786.0
980,2013-09-07,642786.41
981,2013-09-08,642786.77
982,2013-09-09,642787.07
983,2013-09-10,642787.33
984,2013-09-11,642787.36
985,2013-09-12,642787.12
986,2013-09-13,642787.06
