,datetime,ROSS_RESERVOIR_NEAR_NEWHALEM__WA.
892,2013-06-11,1583.04
893,2013-06-12,1583.69
894,2013-06-13,1584.2
895,2013-06-14,1584.62
896,2013-06-15,1585.01
897,2013-06-16,1585.36
898,2013-06-17,1586.06
899,2013-06-18,1586.83
900,2013-06-19,1587.57
901,2013-06-20,1588.49
902,2013-06-21,1589.27
903,2013-06-22,1590.0
904,2013-06-23,1590.56
905,2013-06-24,1591.5
906,2013-06-25,1592.2
907,2013-06-26,1592.6
908,2013-06-27,1592.96
909,2013-06-28,1593.53
910,2013-06-29,1594.45
911,2013-06-30,1595.46
912,2013-07-01,1596.56
913,2013-07-02,1597.92
914,2013-07-03,1598.91
915,2013-07-04,1599.51
916,2013-07-05,1599.79
917,2013-07-06,1600.05
918,2013-07-07,1600.26
919,2013-07-08,1600.5
920,2013-07-09,1600.67
921,2013-07-10,1600.77
922,2013-07-11,1600.8
923,2013-07-12,1600.69
924,2013-07-13,1600.52
925,2013-07-14,1600.35
926,2013-07-15,1600.39
927,2013-07-16,1600.44
928,2013-07-17,1600.73
929,2013-07-18,1601.02
930,2013-07-19,1601.19
931,2013-07-20,1601.41
932,2013-07-21,1601.56
933,2013-07-22,1601.68
934,2013-07-23,1601.82
935,2013-07-24,1601.93
936,2013-07-25,1601.86
937,2013-07-26,1601.76
938,2013-07-27,1601.65
939,2013-07-28,1601.6
940,2013-07-29,1601.45
941,2013-07-30,1601.33
942,2013-07-31,1601.34
943,2013-08-01,1601.36
944,2013-08-02,1601.44
945,2013-08-03,1601.43
946,2013-08-04,1601.5
947,2013-08-05,1601.58
948,2013-08-06,1601.64
949,2013-08-07,1601.61
950,2013-08-08,1601.58
951,2013-08-09,1601.56
952,2013-08-10,1601.52
953,2013-08-11,1601.83
954,2013-08-12,1601.82
955,2013-08-13,1601.71
956,2013-08-14,1601.47
957,2013-08-15,1601.25
958,2013-08-16,1601.09
959,2013-08-17,1600.85
960,2013-08-18,1600.68
961,2013-08-19,1600.52
962,2013-08-20,1600.37
963,2013-08-21,1600.2
964,2013-08-22,1600.12
965,2013-08-23,1600.06
966,2013-08-24,1600.09
967,2013-08-25,1600.09
968,2013-08-26,1600.03
969,2013-08-27,1600.07
970,2013-08-28,1600.11
971,2013-08-29,1600.4
972,2013-08-30,1600.64
973,2013-08-31,1600.69
974,2013-09-01,1600.73
975,2013-09-02,1600.68
976,2013-09-03,1600.62
977,2013-09-04,1600.51
978,2013-09-05,1600.51
979,2013-09-06,1601.08
980,2013-09-07,1601.39
981,2013-09-08,1601.52
982,2013-09-09,1601.53
983,2013-09-10,1601.45
984,2013-09-11,1601.31
985,2013-09-12,1601.27
986,2013-09-13,1601.19
