agency_cd	site_no	datetime	115575_00010_00001	115575_00010_00001_cd	115576_00010_00002	115576_00010_00002_cd	115577_00010_00003	115577_00010_00003_cd	115578_00400_00001	115578_00400_00001_cd	115579_00400_00002	115579_00400_00002_cd	115581_00400_00008	115581_00400_00008_cd	115582_00095_00001	115582_00095_00001_cd	115583_00095_00002	115583_00095_00002_cd	115584_00095_00003	115584_00095_00003_cd	115585_00300_00001	115585_00300_00001_cd	115586_00300_00002	115586_00300_00002_cd	115587_00300_00003	115587_00300_00003_cd	115588_62625_00001	115588_62625_00001_cd	115589_62625_00002	115589_62625_00002_cd	115590_62625_00003	115590_62625_00003_cd	115591_00036_00003	115591_00036_00003_cd	115592_00052_00001	115592_00052_00001_cd	115593_00052_00002	115593_00052_00002_cd	115594_00052_00003	115594_00052_00003_cd	115595_00020_00001	115595_00020_00001_cd	115596_00020_00002	115596_00020_00002_cd	115597_00020_00003	115597_00020_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422622122004000	2013-10-05	9.9	A	9.4	A	9.7	A	7.9	A	7.7	A	7.8	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-10-06	11.3	A	9.9	A	10.5	A	7.9	A	7.7	A	7.8	A	127	A	126	A	127	A																										
USGS	422622122004000	2013-10-07	11.1	A	10.0	A	10.7	A	7.8	A	7.6	A	7.8	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-10-08	10.6	A	9.8	A	10.1	A	7.7	A	7.6	A	7.6	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-10-09	10.2	A	9.3	A	9.6	A	7.8	A	7.7	A	7.8	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-10-10	9.8	A	9.1	A	9.3	A	7.8	A	7.7	A	7.8	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-10-11	9.6	A	9.0	A	9.2	A	7.8	A	7.6	A	7.7	A	128	A	127	A	127	A																										
USGS	422622122004000	2013-10-12	9.4	A	8.8	A	9.1	A	7.7	A	7.5	A	7.6	A	127	A	125	A	127	A																										
USGS	422622122004000	2013-10-13	9.2	A	8.6	A	8.9	A	7.7	A	7.5	A	7.6	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-10-14	9.1	A	8.5	A	8.7	A	7.7	A	7.6	A	7.7	A	129	A	127	A	128	A																										
USGS	422622122004000	2013-10-15	8.9	A	8.2	A	8.6	A	7.7	A	7.6	A	7.6	A	129	A	128	A	128	A																										
USGS	422622122004000	2013-10-16	9.1	A	8.4	A	8.6	A	7.7	A	7.6	A	7.6	A	129	A	128	A	129	A																										
USGS	422622122004000	2013-10-17	9.0	A	8.4	A	8.6	A	7.7	A	7.5	A	7.6	A	129	A	129	A	129	A																										
USGS	422622122004000	2013-10-18	9.2	A	8.6	A	8.7	A	7.6	A	7.5	A	7.6	A																																
USGS	422622122004000	2013-10-19	9.2	A	8.6	A	8.8	A	7.6	A	7.4	A	7.5	A																																
USGS	422622122004000	2013-10-20	9.4	A	8.9	A	9.1	A	7.5	A	7.4	A	7.5	A																																
USGS	422622122004000	2013-10-21	10.0	A	9.0	A	9.2	A	7.5	A	7.4	A	7.5	A																																
USGS	422622122004000	2013-10-22																																												
USGS	422622122004000	2013-10-23																																												
USGS	422622122004000	2013-10-24																																												
USGS	422622122004000	2013-10-25																																												
USGS	422622122004000	2013-10-26																																												
USGS	422622122004000	2013-10-27																																												
USGS	422622122004000	2013-10-28																																												
USGS	422622122004000	2013-10-29																																												
USGS	422622122004000	2013-10-30																																												
USGS	422622122004000	2013-10-31																																												
USGS	422622122004000	2013-11-01																																												
USGS	422622122004000	2013-11-02																																												
USGS	422622122004000	2013-11-03																																												
USGS	422622122004000	2013-11-04																																												
USGS	422622122004000	2013-11-05																																												
USGS	422622122004000	2013-11-06																																												
USGS	422622122004000	2013-11-07																																												
USGS	422622122004000	2013-11-08																																												
