agency_cd	site_no	datetime	164396_00010_00001	164396_00010_00001_cd	164397_00010_00002	164397_00010_00002_cd	164398_00010_00003	164398_00010_00003_cd	164399_00010_00001	164399_00010_00001_cd	164400_00010_00002	164400_00010_00002_cd	164401_00010_00003	164401_00010_00003_cd	164402_00010_00001	164402_00010_00001_cd	164403_00010_00002	164403_00010_00002_cd	164404_00010_00003	164404_00010_00003_cd	164405_00095_00001	164405_00095_00001_cd	164406_00095_00002	164406_00095_00002_cd	164407_00095_00003	164407_00095_00003_cd	164408_00095_00001	164408_00095_00001_cd	164409_00095_00002	164409_00095_00002_cd	164410_00095_00003	164410_00095_00003_cd	164411_00095_00001	164411_00095_00001_cd	164412_00095_00002	164412_00095_00002_cd	164413_00095_00003	164413_00095_00003_cd	164414_00300_00001	164414_00300_00001_cd	164415_00300_00002	164415_00300_00002_cd	164416_00300_00003	164416_00300_00003_cd	164417_00300_00001	164417_00300_00001_cd	164418_00300_00002	164418_00300_00002_cd	164419_00300_00003	164419_00300_00003_cd	164420_00300_00001	164420_00300_00001_cd	164421_00300_00002	164421_00300_00002_cd	164422_00300_00003	164422_00300_00003_cd	164423_00400_00001	164423_00400_00001_cd	164424_00400_00002	164424_00400_00002_cd	164425_00400_00008	164425_00400_00008_cd	164426_00400_00001	164426_00400_00001_cd	164427_00400_00002	164427_00400_00002_cd	164428_00400_00008	164428_00400_00008_cd	164429_00400_00001	164429_00400_00001_cd	164430_00400_00002	164430_00400_00002_cd	164431_00400_00008	164431_00400_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422820122032100	2014-08-23	23.2	A	18.5	A	20.7	A							22.1	A	18.5	A	20.3	A	114	A	109	A	112	A							117	A	113	A	115	A	12.8	A	7.5	A	10.0	A							13.8	A	7.7	A	10.3	A	9.2	A	8.6	A	8.9	A							9.1	A	8.6	A	8.8	A
USGS	422820122032100	2014-08-24	22.5	A	18.5	A	20.4	A							22.4	A	18.4	A	20.2	A	110	A	99	A	106	A							116	A	106	A	113	A	11.5	A	7.4	A	9.7	A							11.9	A	8.2	A	9.8	A	9.1	A	8.6	A	8.8	A							9.1	A	8.6	A	8.8	A
USGS	422820122032100	2014-08-25	22.1	A	17.8	A	20.0	A							22.0	A	17.7	A	19.9	A	113	A	102	A	108	A							116	A	110	A	113	A	12.1	A	5.3	A	9.0	A							11.4	A	5.9	A	9.0	A	9.0	A	8.3	A	8.6	A							8.9	A	8.4	A	8.7	A
USGS	422820122032100	2014-08-26	23.7	A	18.2	A	20.9	A							23.3	A	18.1	A	20.7	A	120	A	110	A	113	A							118	A	106	A	112	A	12.9	A	3.8	A	9.0	A							12.7	A	6.3	A	9.6	A	8.9	A	8.2	A	8.6	A							9.0	A	7.8	A	8.6	A
USGS	422820122032100	2014-08-27	24.1	A	19.5	A	22.0	A							24.0	A	19.5	A	21.8	A	123	A	116	A	121	A							126	A	110	A	119	A	12.2	A	6.9	A	9.6	A							12.5	A	6.9	A	9.8	A	8.9	A	7.7	A	8.6	A							8.9	A	8.0	A	8.6	A
USGS	422820122032100	2014-08-28	23.1	A	20.0	A	21.6	A							23.0	A	19.6	A	21.4	A	124	A	104	A	118	A							126	A	113	A	122	A	13.9	A	7.5	A	10.7	A							14.4	A	7.6	A	10.8	A	9.6	A	8.4	A	9.0	A							9.5	A	8.4	A	8.8	A
USGS	422820122032100	2014-08-29	21.6	A	19.2	A	20.4	A							21.5	A	19.1	A	20.3	A	107	A	95	A	103	A							117	A	111	A	114	A	13.7	A	9.1	A	11.2	A							14.4	A	9.5	A	11.7	A	9.6	A	9.2	A	9.4	A							9.6	A	9.2	A	9.4	A
USGS	422820122032100	2014-08-30	20.4	A	17.4	A	18.8	A							20.4	A	17.4	A	18.8	A	103	A	85	A	96	A							119	A	109	A	114	A	12.6	A	9.0	A	10.5	A							13.3	A	9.4	A	11.1	A	9.7	A	9.0	A	9.4	A							9.7	A	9.1	A	9.4	A
USGS	422820122032100	2014-08-31	20.6	A	16.4	A	18.5	A							20.6	A	16.4	A	18.4	A	93	A	81	A	88	A							124	A	114	A	119	A	10.9	A	7.6	A	9.4	A							11.5	A	7.9	A	9.8	A	9.6	A	9.3	A	9.5	A							9.6	A	9.2	A	9.4	A
USGS	422820122032100	2014-09-01	22.6	A	16.4	A	19.3	A							22.2	A	16.3	A	18.9	A	85	A	82	A	83	A							126	A	114	A	118	A	12.0	A	7.6	A	9.4	A							11.6	A	7.6	A	9.5	A	9.5	A	8.9	A	9.3	A							9.4	A	9.0	A	9.3	A
